iso3,value,year,wb_name
ABW,2276.0,2018,Aruba
AFE,586002.2,2023,Africa Eastern and Southern
AFG,6427.0,2023,Afghanistan
AFW,131256.666,2023,Africa Western and Central
AGO,14831.0,2023,Angola
ALB,3074.0,2023,Albania
ARB,1592278.036,2023,Arab World
ARE,435257.0,2023,United Arab Emirates
ARG,156614.0,2023,Argentina
ARM,11415.0,2023,Armenia
ASM,9144.0,2014,American Samoa
ATG,1057.0,2022,Antigua and Barbuda
AUS,678852.0,2023,Australia
AUT,325904.0,2023,Austria
AZE,28424.0,2023,Azerbaijan
BDI,1400.0,1998,Burundi
BEL,112605.0,2023,Belgium
BEN,10.0,2016,Benin
BFA,2437.0,2023,Burkina Faso
BGD,72684.0,2023,Bangladesh
BGR,7027.0,2023,Bulgaria
BHR,60083.0,2023,Bahrain
BHS,41831.0,2023,"Bahamas, The"
BIH,44.0,2020,Bosnia and Herzegovina
BLR,13168.0,2023,Belarus
BLZ,93784.0,2023,Belize
BOL,50459.0,2023,Bolivia
BRA,791523.0,2023,Brazil
BRB,700.0,1991,Barbados
BRN,7522.0,2023,Brunei Darussalam
BTN,3752.0,2023,Bhutan
BWA,4264.0,2023,Botswana
CAF,716.0,2001,Central African Republic
CAN,1078620.0,2023,Canada
CEB,525651.635,2023,Central Europe and the Baltics
CHE,205045.0,2023,Switzerland
CHL,144494.0,2023,Chile
CHN,4909131.0,2023,China
CIV,13609.0,2023,Cote d'Ivoire
CMR,6200.0,2023,Cameroon
COD,9822.0,2023,"Congo, Dem. Rep."
COG,1545.0,2023,"Congo, Rep."
COL,373146.999,2023,Colombia
COM,1100.0,1996,Comoros
CPV,815.0,2023,Cabo Verde
CRI,15698.0,2023,Costa Rica
CSS,137316.341,2021,Caribbean small states
CUB,1694.0,2023,Cuba
CYP,6815.0,2023,Cyprus
CZE,14544.636,2023,Czechia
DEU,655842.0,2023,Germany
DJI,3900.0,1991,Djibouti
DNK,99598.0,2004,Denmark
DOM,18437.0,2023,Dominican Republic
DZA,72631.0,2023,Algeria
EAP,7111136.454,2023,East Asia & Pacific (excluding high income)
EAR,5868273.054,2023,Early-demographic dividend
EAS,9791309.237,2023,East Asia & Pacific
ECA,1064629.028,2023,Europe & Central Asia (excluding high income)
ECS,7999051.008,2023,Europe & Central Asia
ECU,40797.0,2023,Ecuador
EGY,135253.0,2023,"Egypt, Arab Rep."
EMU,4455776.345,2023,Euro area
ERI,494.395,2020,Eritrea
ESP,662492.4,2023,Spain
EST,22.0,2019,Estonia
ETH,147319.0,2023,Ethiopia
EUU,5084603.98,2023,European Union
FIN,103928.0,2023,Finland
FJI,26145.0,2023,Fiji
FRA,497793.0,2023,France
GAB,2305.0,2016,Gabon
GBR,839180.0,2023,United Kingdom
GEO,2835.0,2023,Georgia
GHA,11490.0,2023,Ghana
GIN,600.0,1999,Guinea
GMB,1136.0,2019,"Gambia, The"
GNB,1200.0,1998,Guinea-Bissau
GNQ,3063.0,2023,Equatorial Guinea
GRC,167624.0,2023,Greece
GTM,1666.0,2023,Guatemala
GUM,11470.0,2009,Guam
GUY,624.0,2021,Guyana
HKG,143874.0,2023,"Hong Kong SAR, China"
HND,16565.0,2023,Honduras
HPC,437951.666,2023,Heavily indebted poor countries (HIPC)
HRV,25311.0,2023,Croatia
HTI,1530.0,2023,Haiti
HUN,298017.0,2023,Hungary
IBD,13449444.48,2023,IBRD only
IBT,14512112.346,2023,IDA & IBRD total
IDA,1062667.866,2023,IDA total
IDB,385593.2,2023,IDA blend
IDN,736333.454,2023,Indonesia
IDX,677074.666,2023,IDA only
IND,1234696.0,2023,India
IRL,1108607.0,2023,Ireland
IRN,144976.0,2023,"Iran, Islamic Rep."
IRQ,36885.0,2023,Iraq
ISL,37800.0,2023,Iceland
ISR,48607.0,2023,Israel
ITA,185458.0,2023,Italy
JAM,1215.272,2018,Jamaica
JOR,34667.0,2023,Jordan
JPN,975616.0,2023,Japan
KAZ,89366.362,2023,Kazakhstan
KEN,69323.0,2023,Kenya
KGZ,5514.0,2023,Kyrgyz Republic
KHM,9161.0,2023,Cambodia
KIR,4427.0,2023,Kiribati
KOR,459734.8,2023,"Korea, Rep."
KWT,68356.0,2023,Kuwait
LAC,2284862.999,2023,Latin America & Caribbean (excluding high income)
LAO,10963.0,2023,Lao PDR
LBN,23751.0,2023,Lebanon
LBR,2200.0,1992,Liberia
LBY,11246.0,2023,Libya
LCN,2638625.999,2023,Latin America & Caribbean
LDC,571661.666,2023,Least developed countries: UN classification
