iso3,value,year,wb_name
ABW,1.93475053810249,2014,Aruba
AFE,12.4,2023,Africa Eastern and Southern
AFG,4.0324584656778,2021,Afghanistan
AFW,11.9,2023,Africa Western and Central
AGO,4.09826656345614,2016,Angola
ALB,1.38708340817063,2023,Albania
AND,2.58464719565779,2020,Andorra
ARB,3.8,2015,Arab World
ARE,0.693218125037315,2022,United Arab Emirates
ARG,4.49291137824536,2023,Argentina
ARM,2.20833575400906,2023,Armenia
ASM,25.5360106858383,2018,American Samoa
ATG,10.7163332993983,2023,Antigua and Barbuda
AUS,0.854406035826682,2023,Australia
AUT,0.876191031111463,2023,Austria
AZE,2.16122820563689,2023,Azerbaijan
BDI,5.64974214487878,2016,Burundi
BEL,1.08030153549307,2021,Belgium
BEN,1.1274974068,2017,Benin
BFA,1.25044051977478,2017,Burkina Faso
BGD,2.34217668208578,2018,Bangladesh
BGR,1.08890737415431,2023,Bulgaria
BHR,0.195636140255462,2022,Bahrain
BHS,32.1981392997156,2022,"Bahamas, The"
BIH,1.22446173133237,2023,Bosnia and Herzegovina
BLR,2.38463165310244,2019,Belarus
BLZ,28.0582917218107,2022,Belize
BMU,6.18257133141674,2023,Bermuda
BOL,4.41843313132273,2023,Bolivia
BRA,19.2752957673079,2023,Brazil
BRB,7.43794627677661,2023,Barbados
BRN,0.486378957300791,2013,Brunei Darussalam
BTN,2.46751324015657,2020,Bhutan
BWA,11.3681767255945,2021,Botswana
CAF,20.120400654,2016,Central African Republic
CAN,1.97968887560784,2023,Canada
CEB,1.3,2015,Central Europe and the Baltics
CHE,0.597481940544685,2023,Switzerland
CHI,0.0,2010,Channel Islands
CHL,6.34829073035101,2023,Chile
CHN,0.5018560705357,2020,China
CMR,6.76008919336955,2022,Cameroon
COL,24.9134420347488,2023,Colombia
CPV,6.99464423976475,2020,Cabo Verde
CRI,17.7454798727379,2023,Costa Rica
CSS,31.5,2015,Caribbean small states
CUB,4.46315139638841,2019,Cuba
CUW,16.9198131011414,2007,Curacao
CYM,4.3677976836113,2020,Cayman Islands
CYP,0.81785876397005,2023,Cyprus
CZE,0.767827757917044,2023,Czechia
DEU,0.910722780231795,2023,Germany
DMA,27.063396005142,2023,Dominica
DNK,0.840599404536194,2023,Denmark
DOM,10.9166976980638,2023,Dominican Republic
DZA,1.16107238811947,2023,Algeria
EAP,1.5,2015,East Asia & Pacific (excluding high income)
EAR,6.0,2015,Early-demographic dividend
EAS,0.8,2023,East Asia & Pacific
ECA,6.4,2015,Europe & Central Asia (excluding high income)
ECS,2.1,2023,Europe & Central Asia
ECU,45.7228145164847,2023,Ecuador
EGY,1.31152527182627,2017,"Egypt, Arab Rep."
EMU,1.0,2015,Euro area
ERI,15.6075665087306,2012,Eritrea
ESP,0.690855954769765,2023,Spain
EST,1.53599045052794,2023,Estonia
ETH,8.51054794891045,2012,Ethiopia
EUU,1.0,2015,European Union
FIN,0.98193498501344,2023,Finland
FJI,2.0559533103824,2023,Fiji
FRA,1.33506280409367,2023,France
FSM,0.906766290056401,2019,"Micronesia, Fed. Sts."
GBR,1.11868407522333,2021,United Kingdom
GEO,2.02806499553233,2019,Georgia
GHA,1.83111773115644,2022,Ghana
GIB,3.20020481310804,2010,Gibraltar
GNB,1.11876398954435,2017,Guinea-Bissau
GRC,0.839605274224601,2023,Greece
