iso3,value,year,wb_name
ABW,180.0,2023,Aruba
AFE,15173741.5,2023,Africa Eastern and Southern
AFG,652870.0,2023,Afghanistan
AFW,9166249.0,2023,Africa Western and Central
AGO,1246700.0,2023,Angola
ALB,28750.0,2023,Albania
AND,470.0,2023,Andorra
ARB,13166251.9,2023,Arab World
ARE,98647.9,2023,United Arab Emirates
ARG,2780400.0,2023,Argentina
ARM,29740.0,2023,Armenia
ASM,200.0,2023,American Samoa
ATG,440.0,2023,Antigua and Barbuda
AUS,7741220.0,2023,Australia
AUT,83879.0,2023,Austria
AZE,86600.0,2023,Azerbaijan
BDI,27830.0,2023,Burundi
BEL,30689.0,2023,Belgium
BEN,114760.0,2023,Benin
BFA,274200.0,2023,Burkina Faso
BGD,147570.0,2023,Bangladesh
BGR,110996.758,2023,Bulgaria
BHR,800.0,2023,Bahrain
BHS,13880.0,2023,"Bahamas, The"
BIH,51210.0,2023,Bosnia and Herzegovina
BLR,207629.0,2023,Belarus
BLZ,22966.0,2023,Belize
BMU,4290.0,2023,Bermuda
BOL,1098580.0,2023,Bolivia
BRA,8510420.0,2023,Brazil
BRB,430.0,2023,Barbados
BRN,5770.0,2023,Brunei Darussalam
BTN,38390.0,2023,Bhutan
BWA,581730.0,2023,Botswana
CAF,622980.0,2023,Central African Republic
CAN,15634410.0,2023,Canada
CEB,1168028.188,2023,Central Europe and the Baltics
CHE,41290.7,2023,Switzerland
CHI,198.0,2021,Channel Islands
CHL,757244.88,2023,Chile
CHN,9562910.0,2023,China
CIV,322460.0,2023,Cote d'Ivoire
CMR,475440.0,2023,Cameroon
COD,2344860.0,2023,"Congo, Dem. Rep."
COG,342000.0,2023,"Congo, Rep."
COL,1140619.1,2023,Colombia
COM,1861.0,2023,Comoros
CPV,4030.0,2023,Cabo Verde
CRI,51100.0,2023,Costa Rica
CSS,423996.0,2023,Caribbean small states
CUB,109880.0,2023,Cuba
CUW,444.0,2023,Curacao
CYM,264.0,2023,Cayman Islands
CYP,9250.0,2023,Cyprus
CZE,78871.43,2023,Czechia
DEU,357680.0,2023,Germany
DJI,23200.0,2023,Djibouti
DMA,750.0,2023,Dominica
DNK,42920.0,2023,Denmark
DOM,146839.46,2023,Dominican Republic
