iso3,value,year,wb_name
ABW,1077000000.0,2020,Aruba
AFE,27810935913.9312,2019,Africa Eastern and Southern
AFG,75000000.0,2020,Afghanistan
AFW,7230774394.40082,2018,Africa Western and Central
AGO,19000000.0,2020,Angola
ALB,1243000000.0,2020,Albania
AND,1910000000.0,2019,Andorra
ARB,131922562360.543,2019,Arab World
ARE,24615400390.625,2020,United Arab Emirates
ARG,1702000000.0,2020,Argentina
ARM,303000000.0,2020,Armenia
ASM,22000000.0,2017,American Samoa
ATG,416000000.0,2020,Antigua and Barbuda
AUS,26234000000.0,2020,Australia
AUT,15362000000.0,2020,Austria
AZE,340000000.0,2020,Azerbaijan
BDI,3700000.04768372,2011,Burundi
BEL,7447000000.0,2020,Belgium
BEN,240860000.610352,2019,Benin
BFA,173000000.0,2019,Burkina Faso
BGD,217899993.896484,2020,Bangladesh
BGR,1792000000.0,2020,Bulgaria
BHR,724000000.0,2020,Bahrain
BHS,1007000000.0,2020,"Bahamas, The"
BIH,438000000.0,2020,Bosnia and Herzegovina
BLR,542000000.0,2020,Belarus
BLZ,101000000.0,1998,Belize
BMU,94000000.0,2020,Bermuda
BOL,243000000.0,2020,Bolivia
BRA,3099000000.0,2020,Brazil
BRB,1071000000.0,2016,Barbados
BRN,190000000.0,2018,Brunei Darussalam
BTN,84000000.0,2020,Bhutan
BWA,217000000.0,2020,Botswana
CAF,15600000.3814697,2013,Central African Republic
CAN,19994000000.0,2011,Canada
CEB,65843484713.7794,2019,Central Europe and the Baltics
CHE,9994000000.0,2020,Switzerland
CHL,1034000000.0,2020,Chile
CHN,27755000000.0,2004,China
CIV,199300003.051758,2020,Cote d'Ivoire
CMR,437000000.0,2020,Cameroon
COD,60500000.0,2018,"Congo, Dem. Rep."
COG,42900001.5258789,2016,"Congo, Rep."
COL,1959000000.0,2020,Colombia
COM,18500000.0,2020,Comoros
CPV,169000000.0,2020,Cabo Verde
CRI,1479000000.0,2020,Costa Rica
CSS,10590877575.243,2016,Caribbean small states
CUB,1152000000.0,2020,Cuba
CUW,282000000.0,2020,Curacao
CYM,964000000.0,2019,Cayman Islands
CYP,663000000.0,2020,Cyprus
CZE,3890000000.0,2020,Czechia
DEU,58372000000.0,2019,Germany
DJI,57000000.0,2018,Djibouti
DMA,111000000.0,2018,Dominica
DNK,9097000000.0,2018,Denmark
DOM,7561000000.0,2018,Dominican Republic
DZA,50000000.0,2020,Algeria
