iso3,value,year,wb_name
ABW,1951000.0,2019,Aruba
AFE,39826701.4025488,2019,Africa Eastern and Southern
AFW,13150775.3380124,2016,Africa Western and Central
AGO,218000.0,2019,Angola
ALB,2658000.0,2020,Albania
AND,5207000.0,2020,Andorra
ARB,142447574.174804,2019,Arab World
ARE,8084000.0,2020,United Arab Emirates
ARG,7399000.0,2019,Argentina
ARM,375000.0,2020,Armenia
ASM,899.999976158142,2020,American Samoa
ATG,384500.0,2020,Antigua and Barbuda
AUS,1828000.0,2020,Australia
AUT,15091000.0,2020,Austria
AZE,796000.0,2020,Azerbaijan
BDI,299000.0,2017,Burundi
BEL,2584000.0,2020,Belgium
BEN,337000.0,2019,Benin
BFA,67000.0,2020,Burkina Faso
BGD,323000.0,2019,Bangladesh
BGR,4973000.0,2020,Bulgaria
BHR,1909000.0,2020,Bahrain
BHS,1794500.0,2020,"Bahamas, The"
BIH,197000.0,2020,Bosnia and Herzegovina
BLR,3598000.0,2020,Belarus
BLZ,487000.0,2020,Belize
BMU,51400.0015258789,2020,Bermuda
BOL,323299.987792969,2020,Bolivia
BRA,6353000.0,2019,Brazil
BRB,966000.0,2019,Barbados
BRN,1071000.0,2020,Brunei Darussalam
BTN,29799.9992370605,2020,Bhutan
BWA,1830000.0,2018,Botswana
CAF,87000.0,2019,Central African Republic
CAN,32430000.0,2019,Canada
CEB,314638365.070248,2019,Central Europe and the Baltics
CHE,11818000.0,2019,Switzerland
CHL,5431000.0,2019,Chile
CHN,30402000.0,2020,China
CIV,668000.0,2020,Cote d'Ivoire
CMR,1021000.0,2019,Cameroon
COD,351000.0,2016,"Congo, Dem. Rep."
COG,158000.0,2018,"Congo, Rep."
COL,1396000.0,2020,Colombia
COM,7000.0,2020,Comoros
CPV,180000.0,2020,Cabo Verde
CRI,1146500.0,2020,Costa Rica
CSS,19819087.2645395,2019,Caribbean small states
CUB,1086000.0,2020,Cuba
CUW,1293000.0,2019,Curacao
CYM,660000.0,2020,Cayman Islands
CYP,4117000.0,2019,Cyprus
CZE,37202000.0,2019,Czechia
DEU,12449000.0,2020,Germany
DJI,63000.0,2013,Djibouti
DMA,140000.0,2020,Dominica
DNK,15595000.0,2020,Denmark
DOM,2748000.0,2020,Dominican Republic
DZA,591000.0,2020,Algeria
EAP,292842169.375777,2019,East Asia & Pacific (excluding high income)
EAR,369336988.869679,2019,Early-demographic dividend
EAS,490804002.09165,2019,East Asia & Pacific
ECA,180880471.54687,2019,Europe & Central Asia (excluding high income)
ECS,1199188498.74821,2019,Europe & Central Asia
ECU,2108000.0,2019,Ecuador
EGY,13026000.0,2019,"Egypt, Arab Rep."
EMU,655573447.522239,2019,Euro area
ERI,142000.0,2016,Eritrea
ESP,36410000.0,2020,Spain
EST,1695000.0,2020,Estonia
ETH,518000.0,2020,Ethiopia
EUU,968873375.260994,2019,European Union
FIN,896000.0,2020,Finland
FJI,168000.0,2020,Fiji
FRA,117109000.0,2020,France
FSM,18000.0,2019,"Micronesia, Fed. Sts."
GAB,526000.0,2005,Gabon
GBR,11101000.0,2020,United Kingdom
GEO,1513000.0,2020,Georgia
GHA,897000.0,2015,Ghana
GIN,99000.0,2017,Guinea
GMB,246000.0,2020,"Gambia, The"
GNB,52400.0015258789,2019,Guinea-Bissau
GRC,7406000.0,2020,Greece
GRD,217000.0,2020,Grenada
GTM,594000.0,2020,Guatemala
GUM,328000.0,2020,Guam
GUY,86400.0015258789,2020,Guyana
HKG,3569000.0,2020,"Hong Kong SAR, China"
HND,669000.0,2020,Honduras
HPC,29134874.0028677,2019,Heavily indebted poor countries (HIPC)
HRV,21608000.0,2020,Croatia
HTI,938000.0,2019,Haiti
HUN,31641000.0,2020,Hungary
IBD,852166955.667661,2019,IBRD only
IBT,974462802.208958,2019,IDA & IBRD total
IDA,100914423.764227,2019,IDA total
IDN,4053000.0,2020,Indonesia
IDX,63144062.5081978,2019,IDA only
IND,17914000.0,2019,India
IRL,10951000.0,2019,Ireland
