"Data Source","World Development Indicators",

"Last Updated Date","2026-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1363802057.82932","1522193651.8637","1648463551.4576","1810857555.70578","2001255995.48195","2095259749.45466","2158919231.50221","2350908521.51772","2424685609.58266","2489440705.42339","2739898103.35414","2918754740.61725","2936102553.44684","3027319748.07174","3335469123.95673","3426871110.42673","3572376596.74459","3782521886.32566","3926175809.15729","3489075178.00144","3434946033.94178","3623931877.15193","3549697827.01878","3793906436.882","3808447873.65564","3881687394.68026","3926951256.42967","4080271623.86488","4278675099.18117","4209110308.18345","3133234156.9919","3780785538.74098","4481147103.64658","5000176438.22858","5469871318.00027","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","577100601053.5","597998959309.335","598951199193.157","611435980033.065","636570098414.722","678867181310.464","730384501465.473","775054989550.12","798719535262.972","832650790359.872","880150654058.224","933005580035.362","983668352620.627","1033801801176.58","1121048165479.82","1226920731943.57","1348745499957.6","1477348420232.4","1572754718986.31","1597086660063.01","1702474592459.02","1808548214571.79","1815746487409.02","1940632551664.47","2076855413176.87","2149104361702.58","2265599728957.27","2456370311843.14","2449135802502.57","2569565959806.3","2575071867636.88","2872598739483.37","3197467485121.92","3378412777153.98","3566223281573.67","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16377032684.0049","15166333854.9981","19806995164.3761","21981995255.8636","22892320780.0904","26261445894.5918","28521625037.4871","33344679966.8373","35321124705.4034","43140953896.0125","49936634725.4957","51184181904.4289","60766467131.1993","67458857272.9888","72946664022.0665","77274315044.0326","76798750471.4042","83362066704.4832","89369237677.5116","97800733345.013","100094011602.726","85767546197.7544","86148711748.6848","91271896894.46","","",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","446126736127.422","466490178517.364","489690312246.225","494741185916.622","503700809521.585","522873824352.597","556859717130.507","590279741761.023","617924448080.152","635960702366.402","675719863251.628","728165156701.825","816511096536.118","881901582782.146","979902985007.426","1070138443051.37","1162368419954.3","1260250617638.05","1365730529507.08","1460907570091.88","1583804782448.02","1698475074371.2","1796232131060.1","1925162487120.03","2081639052409.18","2114363564241.94","2132384617455.24","2216163397724.63","2342085429827.22","2541211584140.38","2569338654649.25","2765360719691.51","3093809375860.86","3321421591092.65","3556339225869.39","",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43074073049.4434","44972216732.724","43311630089.5044","33704427290.6791","34885147280.3125","40959067179.8915","47358143134.6612","51679178936.747","54711575821.2443","56696215287.6417","59751581478.7583","63666740830.5725","73491822510.3902","77556271312.7064","88736815277.8388","104473445323.963","120448309494.207","139797395597.277","157860858808.494","162004198386.909","172653197073.284","182548166821.753","207621875217.7","222514926605.751","244927399936.622","227162636842.903","226660173392.231","242085415953.133","259089393411.945","277552374263.455","261836328695.531","306036100914.862","341677256610.31","358443900347.246","383352092457.214","",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8727981289.02122","6496471262.7701","6166967619.22255","6916644283.3857","7650870122.86281","8851930465.5959","9675284316.43274","8689461343.43019","9653973741.86614","11033900449.8991","12287444703.681","13619343345.1793","14767901361.0631","15712348856.0292","16935092961.9811","18112037368.8111","20208375084.4722","22526655930.528","24961525464.6329","26437281054.889","28416061889.2111","29846288353.936","30348807239.5289","30653601166.3675","32696763099.3817","33831412752.3915","35113281648.3064","37369110770.0988","39260152566.101","42220107429.1219","41182895542.0584","45345712251.0862","54275343252.3649","59923521425.5842","63473299185.7041","",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1310131885.03024","1388922114.71548","1433773796.37606","1452619188.84507","1518993228.47527","1593606271.86624","1698236547.21999","1884167759.81747","1966215054.51796","2075776156.14411","2197696491.5043","2429638531.0406","2579571697.17073","2859201638.01081","3174958697.51878","3451259350.68147","3728768817.98712","3889274660.19026","3743831887.45967","3567168967.98064","3539214037.97724","3611940399.90852","3496180919.82724","3429540494.942","3576657555.21929","3661620791.67048","3833543204.91048","3915698820.58319","4152298789.83756","4395348448.44156","4031176207.5678","4649508748.84024","5457407403.46601","5799854946.96513","6140390670.0909","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1519402324903.7","1627290823463.51","1769869022661.29","1868929744857.66","1965787640920.22","2058341273371.03","2195163921160.76","2353538053787.47","2502904976123","2616807217398.96","2849573725995.69","2976138464586.04","3052768695166.1","3222214001627.58","3619260393408.75","3936981667471.26","4303074804182.8","4615888202289.1","4968012583844.74","5029883294572.11","5336016064638.3","5671975904345.14","6137074221159.11","6268506159587.04","6330486979070.97","5879208123546.4","5818822071567.91","6199159896981.97","6783314844554.52","6995655755950.55","6492504052490.06","7382615294488.8","8463659709320.79","8913532832303.65","9295755445740.28","",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167907198978.276","175078481236.012","185057999544.239","191833731830.083","209441370135.498","228133591638.991","245780463533.669","270496357749.178","274335084052.506","286291652042.917","324550907808.85","336501774532.64","350046870275.679","388372122533.905","436968248894.769","472549815265.604","535042276089.907","567037386974.021","596410169665.133","568626530008.777","584761967138.496","637031255028.397","659302466674.815","673342735231.469","705021550091.443","629269005951.834","625340346939.844","648225675214.747","723866727281.628","753927619595.568","627901742033.062","656665346475.563","756345234049.455","817263903757.606","870438615966.339","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234476844277.352","264545654095.111","292050532479.084","323509736778.801","349701129033.532","346874927371.834","372747062317.193","409929944205.048","430497422050.132","421808836974.514","427960175928.847","418303583400.374","378523791536.921","420107758525.601","470358838992.398","528046724347.489","588133949216.688","658480356265.582","698398185512.872","661115953562.315","736904550750.838","797263881242.037","819219854484.205","848625298160.51","838428063163.02","865155580188.784","882649216798.351","1035699067575.93","1090043170151.08","1057633159930.82","1011999397129.76","1191725417699.43","1353555462358.02","1376238680576.58","1390588639479.49","",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9804759536.81031","8950386612.80216","5327833129.30445","4974157579.66486","5354705603.50387","5844198432.94977","6300253203.34117","6621742394.57029","7184981697.30371","7527115894.1806","8151779326.30288","9135524003.17559","10502118179.3831","12208787869.163","13853487621.1931","16273869613.1272","18990125434.4095","22176749551.127","24163709284.131","20884649142.4407","21603503567.4249","23085520248.3701","27043423649.5481","28572642912.7207","29343064966.5336","29315404012.9832","31629425029.462","35949453239.3726","38233278956.681","44365671088.179","43552758696.8095","47164867556.762","56893939956.673","63833326718.2117","69234115090.8145","",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","819608596.224663","865771251.663144","895759895.279394","965408471.006148","1051852685.30775","1027086737.24417","1114970753.50882","1196252709.36757","1266931123.39748","1332498765.77347","1447217180.44904","1412500912.42759","1449186282.88348","1567598182.54281","1702588348.57241","1869648421.17262","2172230129.35438","2438910773.02227","2485553313.20349","2201706020.73879","2053740262.1647","2055053749.15776","2008004315.57078","1916318722.69576","1923668370.58425","1876287100.28153","1918178442.04757","1938005691.19943","2229888663.55951","2425768090.57419","2054603457.83519","2377570792.25983","2779062289.10061","2948949156.32379","3130689969.29169","",
