passport,original_score,adjusted_score,original_rank,adjusted_rank,rank_change,adjusted_pct_of_max
ARE,169,174.5,1,1,0,87.7
KOR,163,173.4,2,2,0,87.1
JPN,162,172.2,4,3,1,86.5
SGP,163,172.1,2,4,-2,86.5
ESP,161,171.1,5,5,0,86.0
LUX,160,170.4,6,6,0,85.6
NOR,160,170.3,6,7,-1,85.6
FIN,160,170.3,6,7,-1,85.6
BEL,160,170.3,6,7,-1,85.6
SWE,160,170.3,6,7,-1,85.6
CHE,160,170.2,6,11,-5,85.5
NLD,160,170.2,6,11,-5,85.5
DNK,160,170.2,6,11,-5,85.5
ITA,160,170.2,6,11,-5,85.5
FRA,160,170.1,6,15,-9,85.5
DEU,160,170.1,6,15,-9,85.5
IRL,160,169.8,6,17,-11,85.3
SVK,159,169.4,19,18,1,85.1
SVN,159,169.4,19,18,1,85.1
HRV,159,169.4,19,18,1,85.1
HUN,159,169.4,19,18,1,85.1
PRT,159,169.3,19,22,-3,85.1
GRC,159,169.3,19,22,-3,85.1
POL,159,169.2,19,24,-5,85.0
AUT,159,169.2,19,24,-5,85.0
MLT,159,169.1,19,26,-7,85.0
NZL,158,168.6,28,27,1,84.7
LVA,158,168.3,28,28,0,84.6
EST,158,168.3,28,28,0,84.6
CZE,158,168.0,28,30,-2,84.4
BGR,158,167.9,28,31,-3,84.4
ROU,158,167.8,28,32,-4,84.3
LTU,157,167.1,34,33,1,84.0
AUS,157,167.1,34,33,1,84.0
LIE,156,166.8,36,35,1,83.8
MYS,160,166.5,6,36,-30,83.7
GBR,156,166.4,36,37,-1,83.6
ISL,155,166.2,39,38,1,83.5
CYP,156,165.5,36,39,-3,83.2
CAN,155,164.7,39,40,-1,82.8
MCO,153,164.1,41,41,0,82.5
HKG,153,163.6,41,42,-1,82.2
USA,153,162.6,41,43,-2,81.7
CHL,148,159.6,45,44,1,80.2
AND,146,158.2,47,45,2,79.5
ARG,148,157.1,45,46,-1,78.9
BRA,149,156.9,44,47,-3,78.8
SMR,144,156.4,48,48,0,78.6
BRN,139,148.9,51,49,2,74.8
BRB,141,148.5,49,50,-1,74.6
ISR,140,147.6,50,51,-1,74.2
BHS,139,147.1,51,52,-1,73.9
URY,137,147.0,53,53,0,73.9
VAT,135,145.6,56,54,2,73.2
MEX,136,145.1,54,55,-1,72.9
PER,133,143.0,59,56,3,71.9
KNA,136,142.9,54,57,-3,71.8
VCT,135,142.2,56,58,-2,71.5
SYC,134,141.4,58,59,-1,71.1
MAC,129,139.3,62,60,2,70.0
UKR,131,138.9,61,61,0,69.8
PRY,127,138.5,65,62,3,69.6
ATG,132,138.5,60,62,-2,69.6
CRI,128,138.2,63,64,-1,69.4
PAN,126,137.4,68,65,3,69.0
GRD,128,135.7,63,66,-3,68.2
MUS,127,134.2,65,67,-2,67.4
TTO,127,133.1,65,68,-3,66.9
LCA,125,131.6,69,69,0,66.1
DMA,123,129.7,70,70,0,65.2
SRB,120,129.2,71,71,0,64.9
GEO,119,127.4,72,72,0,64.0
MNE,117,126.5,74,73,1,63.6
COL,117,126.5,74,73,1,63.6
MKD,117,126.1,74,75,-1,63.4
SLV,116,125.8,77,76,1,63.2
SLB,119,124.6,72,77,-5,62.6
GTM,114,124.3,79,78,1,62.5
TWN,113,124.1,83,79,4,62.4
HND,114,123.5,79,80,-1,62.1
WSM,115,121.3,78,81,-3,61.0
TUV,114,119.7,79,82,-3,60.2
NIC,110,119.1,87,83,4,59.8
TON,112,118.1,84,84,0,59.3
KIR,112,117.9,84,85,-1,59.2
BIH,110,117.9,87,85,2,59.2
VEN,109,117.4,90,87,3,59.0
MHL,110,117.0,87,88,-1,58.8
MDA,109,116.1,90,89,1,58.3
ALB,106,116.0,92,90,2,58.3
PLW,105,111.9,93,91,2,56.2
FSM,104,110.9,95,92,3,55.7
RUS,114,108.2,79,93,-14,54.4
TUR,111,106.6,86,94,-8,53.6
QAT,105,102.7,93,95,-2,51.6
TLS,85,90.4,102,96,6,45.4
KWT,96,89.4,96,97,-1,44.9
ZAF,94,87.8,97,98,-1,44.1
XKX,80,87.5,109,99,10,44.0
ECU,85,82.3,102,100,2,41.4
BHR,86,81.6,99,101,-2,41.0
BLZ,87,81.6,98,101,-3,41.0
SAU,86,81.2,99,103,-4,40.8
MDV,86,80.4,99,104,-5,40.4
JAM,84,78.5,104,105,-1,39.4
OMN,82,78.4,105,106,-1,39.4
GUY,82,78.0,105,107,-2,39.2
BLR,81,76.2,107,108,-1,38.3
FJI,81,75.7,107,109,-2,38.0
THA,79,74.7,111,110,1,37.5
KAZ,78,74.3,112,111,1,37.3
VUT,80,71.5,109,112,-3,35.9
IDN,77,70.5,113,113,0,35.4
CHN,77,69.5,113,114,-1,34.9
BOL,71,67.7,118,115,3,34.0
SUR,70,67.2,121,116,5,33.8
NRU,73,66.8,115,117,-2,33.6
BWA,72,65.0,116,118,-2,32.7
AZE,71,65.0,118,118,0,32.7
PNG,72,64.8,116,120,-4,32.6
ARM,67,63.7,125,121,4,32.0
LSO,70,62.8,121,122,-1,31.6
DOM,67,62.7,125,123,2,31.5
NAM,69,61.0,123,124,-1,30.7
MAR,71,60.8,118,125,-7,30.6
MNG,64,60.8,132,125,7,30.6
SWZ,68,60.4,124,127,-3,30.4
MWI,67,59.0,125,128,-3,29.6
TUN,65,56.9,130,129,1,28.6
PHL,62,56.2,135,130,5,28.2
TZA,66,55.9,128,131,-3,28.1
KEN,66,55.6,128,132,-4,27.9
UZB,60,54.9,140,133,7,27.6
CPV,64,54.3,132,134,-2,27.3
KGZ,61,54.0,139,135,4,27.1
GMB,65,53.9,130,136,-6,27.1
ZMB,62,53.5,135,137,-2,26.9
GHA,64,52.8,132,138,-6,26.5
STP,59,52.2,141,139,2,26.2
UGA,62,51.8,135,140,-5,26.0
ZWE,59,51.5,141,141,0,25.9
MDG,57,49.5,145,142,3,24.9
RWA,62,49.3,135,143,-8,24.8
CUB,56,49.2,146,144,2,24.7
SLE,59,48.9,141,145,-4,24.6
BEN,59,48.8,141,146,-5,24.5
TJK,55,48.5,150,147,3,24.4
MOZ,56,47.5,146,148,-2,23.9
GAB,56,47.1,146,149,-3,23.7
IND,55,46.8,150,150,0,23.5
VNM,52,45.9,159,151,8,23.1
SEN,56,44.8,146,152,-6,22.5
KHM,50,44.8,162,152,10,22.5
GNQ,54,44.7,153,154,-1,22.5
TGO,55,44.6,150,155,-5,22.4
GIN,53,44.6,156,155,1,22.4
DZA,54,44.2,153,157,-4,22.2
BFA,54,43.9,153,158,-5,22.1
BTN,49,43.7,165,159,6,22.0
COM,51,43.7,161,159,2,22.0
MRT,52,43.4,159,161,-2,21.8
JOR,49,43.1,165,162,3,21.7
NER,53,42.8,156,163,-7,21.5
CIV,53,41.5,156,164,-8,20.9
TCD,50,41.3,162,165,-3,20.8
LAO,45,40.5,176,166,10,20.4
HTI,45,40.4,176,167,9,20.3
MLI,50,40.3,162,168,-6,20.3
GNB,49,39.9,165,169,-4,20.1
AGO,47,39.4,170,170,0,19.8
