iso3,gdp_pc_ppp,gdp_total_ppp,trade_openness,hdi,internet_users,tertiary_enroll,population,surface_area,tourist_arrivals,tourism_receipts,air_departures,rule_of_law,electoral_democracy,homicide_rate,price_level,name
AFG,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,Afghanistan
AGO,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Angola
ALB,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Albania
AND,observed,observed,proxy:ESP,observed,observed,observed,observed,observed,observed,observed,proxy:ESP,proxy:ESP,manual,observed,observed,Andorra
ARE,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,United Arab Emirates
ARG,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Argentina
ARM,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Armenia
ATG,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,imputed:income,observed,observed,Antigua and Barbuda
AUS,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Australia
AUT,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Austria
AZE,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Azerbaijan
BDI,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,Burundi
BEL,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Belgium
BEN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Benin
BFA,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Burkina Faso
BGD,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Bangladesh
BGR,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Bulgaria
BHR,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Bahrain
BHS,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,observed,imputed:income,imputed:income,observed,observed,Bahamas
BIH,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Bosnia and Herzegovina
BLR,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Belarus
BLZ,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,imputed:income,observed,observed,Belize
BOL,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,observed,observed,Bolivia
BRA,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Brazil
BRB,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,Barbados
BRN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,imputed:income,observed,observed,Brunei
BTN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Bhutan
BWA,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Botswana
CAF,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,Central African Republic
CAN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Canada
CHE,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Switzerland
CHL,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Chile
CHN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,China
CIV,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,Ivory Coast
CMR,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Cameroon
COD,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,DR Congo
COG,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,Congo
COL,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Colombia
COM,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,observed,imputed:income,observed,Comoros
CPV,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Cape Verde
CRI,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Costa Rica
CUB,manual,manual,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,manual,Cuba
CYP,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Cyprus
CZE,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Czech Republic
DEU,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Germany
DJI,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,imputed:income,observed,observed,imputed:income,observed,Djibouti
DMA,observed,observed,imputed:income,observed,observed,imputed:income,observed,observed,observed,observed,imputed:income,imputed:income,imputed:income,observed,observed,Dominica
DNK,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,Denmark
DOM,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Dominican Republic
DZA,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Algeria
ECU,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Ecuador
EGY,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Egypt
ERI,imputed:income,imputed:income,imputed:income,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,Eritrea
ESP,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Spain
EST,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Estonia
ETH,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Ethiopia
FIN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Finland
FJI,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Fiji
FRA,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,France
FSM,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,imputed:income,imputed:income,imputed:income,observed,observed,Micronesia
GAB,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,Gabon
GBR,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,United Kingdom
GEO,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Georgia
GHA,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Ghana
GIN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,observed,imputed:income,observed,Guinea
GMB,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,Gambia
GNB,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,Guinea-Bissau
GNQ,observed,observed,observed,observed,observed,imputed:income,observed,observed,imputed:income,observed,observed,observed,observed,imputed:income,observed,Equatorial Guinea
GRC,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Greece
GRD,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,imputed:income,imputed:income,imputed:income,observed,observed,Grenada
GTM,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Guatemala
GUY,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Guyana
HKG,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Hong Kong
HND,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Honduras
HRV,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Croatia
HTI,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,observed,observed,Haiti
HUN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Hungary
IDN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Indonesia
IND,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,India
IRL,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Ireland
IRN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Iran
IRQ,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,observed,observed,Iraq
ISL,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Iceland
ISR,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Israel
ITA,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Italy
JAM,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Jamaica
JOR,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Jordan
JPN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Japan
KAZ,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Kazakhstan
KEN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Kenya
KGZ,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Kyrgyzstan
KHM,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,Cambodia
KIR,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,imputed:income,observed,observed,Kiribati
KNA,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,imputed:income,imputed:income,imputed:income,observed,observed,Saint Kitts and Nevis
KOR,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,South Korea
KWT,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Kuwait
LAO,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,Laos
LBN,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Lebanon
LBR,observed,observed,imputed:income,observed,observed,observed,observed,observed,imputed:income,observed,imputed:income,observed,observed,observed,observed,Liberia
LBY,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,Libya
LCA,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,imputed:income,imputed:income,imputed:income,observed,observed,Saint Lucia
LIE,manual,manual,proxy:CHE,observed,observed,observed,observed,observed,observed,manual,proxy:CHE,proxy:CHE,manual,observed,proxy:CHE,Liechtenstein
LKA,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Sri Lanka
LSO,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,observed,imputed:income,observed,Lesotho
LTU,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Lithuania
LUX,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Luxembourg
LVA,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Latvia
MAC,observed,observed,observed,manual,observed,observed,observed,observed,observed,observed,observed,manual,manual,observed,observed,Macao
MAR,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Morocco
MCO,manual,manual,proxy:FRA,manual,observed,observed,observed,observed,observed,manual,observed,proxy:FRA,manual,manual,manual,Monaco
MDA,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Moldova
MDG,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,Madagascar
MDV,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Maldives
MEX,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Mexico
MHL,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,imputed:income,imputed:income,observed,Marshall Islands
MKD,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,observed,observed,observed,North Macedonia
MLI,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,Mali
MLT,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Malta
MMR,observed,observed,imputed:income,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Myanmar
MNE,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Montenegro
MNG,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Mongolia
MOZ,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,imputed:income,observed,Mozambique
MRT,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Mauritania
MUS,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,observed,Mauritius
