passport,att_economy,att_development,att_scale,att_draw,att_security,att_cost,att_overall,tilt_economy,tilt_development,tilt_scale,tilt_draw,tilt_security,tilt_cost,name
AFG,16.71,14.79,18.12,17.22,17.1,20.82,17.46,-0.75,-2.67,0.66,-0.24,-0.36,3.36,Afghanistan
AGO,26.86,23.65,29.99,28.07,27.56,34.29,28.4,-1.54,-4.75,1.59,-0.33,-0.84,5.89,Angola
ALB,62.47,64.64,55.46,60.88,63.88,55.59,60.49,1.98,4.15,-5.03,0.39,3.39,-4.9,Albania
AND,79.02,82.38,73.28,78.73,80.04,70.9,77.39,1.63,4.99,-4.11,1.34,2.65,-6.49,Andorra
ARE,86.73,89.38,82.15,86.04,88.01,82.49,85.8,0.93,3.58,-3.65,0.24,2.21,-3.31,United Arab Emirates
ARG,79.49,82.73,73.14,78.6,80.31,72.94,77.87,1.62,4.86,-4.73,0.73,2.44,-4.93,Argentina
ARM,36.05,35.85,37.96,37.6,33.62,41.22,37.05,-1.0,-1.2,0.91,0.55,-3.43,4.17,Armenia
ATG,72.36,74.63,66.5,71.26,74.31,67.61,71.11,1.25,3.52,-4.61,0.15,3.2,-3.5,Antigua and Barbuda
AUS,83.1,86.66,76.39,82.37,85.36,76.42,81.72,1.38,4.94,-5.33,0.65,3.64,-5.3,Australia
AUT,84.06,87.83,77.54,83.35,86.63,77.62,82.84,1.22,4.99,-5.3,0.51,3.79,-5.22,Austria
AZE,36.59,36.62,38.48,37.87,33.89,43.07,37.75,-1.16,-1.13,0.73,0.12,-3.86,5.32,Azerbaijan
BDI,25.69,22.49,28.64,26.79,26.07,32.32,27.0,-1.31,-4.51,1.64,-0.21,-0.93,5.32,Burundi
BEL,84.52,88.19,78.08,83.96,86.79,78.16,83.28,1.24,4.91,-5.2,0.68,3.51,-5.12,Belgium
BEN,30.75,26.52,34.95,31.88,30.46,39.46,32.34,-1.59,-5.82,2.61,-0.46,-1.88,7.12,Benin
BFA,28.83,24.87,32.6,29.65,28.82,37.27,30.34,-1.51,-5.47,2.26,-0.69,-1.52,6.93,Burkina Faso
BGD,20.1,18.85,21.39,20.93,22.33,25.39,21.5,-1.4,-2.65,-0.11,-0.57,0.83,3.89,Bangladesh
BGR,83.66,87.39,77.12,83.21,86.25,77.33,82.49,1.17,4.9,-5.37,0.72,3.76,-5.16,Bulgaria
BHR,43.93,42.6,46.12,45.73,40.47,50.4,44.88,-0.95,-2.28,1.24,0.85,-4.41,5.52,Bahrain
BHS,75.04,77.08,69.21,74.23,78.91,69.54,74.0,1.04,3.08,-4.79,0.23,4.91,-4.46,Bahamas
BIH,64.04,66.82,57.58,62.93,64.44,58.42,62.37,1.67,4.45,-4.79,0.56,2.07,-3.95,Bosnia and Herzegovina
BLR,41.27,40.9,44.09,43.06,37.45,48.15,42.49,-1.22,-1.59,1.6,0.57,-5.04,5.66,Belarus
BLZ,44.95,43.75,46.82,46.32,44.89,51.24,46.33,-1.38,-2.58,0.49,-0.01,-1.44,4.91,Belize
BOL,38.5,38.03,40.36,40.42,36.36,43.79,39.58,-1.08,-1.55,0.78,0.84,-3.22,4.21,Bolivia
BRA,79.26,83.0,72.67,78.29,81.09,73.11,77.9,1.36,5.1,-5.23,0.39,3.19,-4.79,Brazil
BRB,76.66,79.31,71.05,75.88,79.52,71.39,75.63,1.03,3.68,-4.58,0.25,3.89,-4.24,Barbados
BRN,75.73,78.42,68.31,75.11,78.6,68.06,74.04,1.69,4.38,-5.73,1.07,4.56,-5.98,Brunei
BTN,28.63,26.54,30.28,29.93,26.99,34.21,29.43,-0.8,-2.89,0.85,0.5,-2.44,4.78,Bhutan
BWA,36.18,33.57,38.08,37.14,37.13,43.5,37.6,-1.42,-4.03,0.48,-0.46,-0.47,5.9,Botswana
CAF,26.39,23.36,29.6,27.09,26.74,33.89,27.84,-1.45,-4.48,1.76,-0.75,-1.1,6.05,Central African Republic
CAN,82.22,85.64,74.99,81.1,85.62,75.29,80.81,1.41,4.83,-5.82,0.29,4.81,-5.52,Canada
CHE,84.46,88.08,78.18,83.91,86.64,78.5,83.3,1.16,4.78,-5.12,0.61,3.34,-4.8,Switzerland
CHL,80.45,83.94,73.28,79.44,80.63,72.24,78.33,2.12,5.61,-5.05,1.11,2.3,-6.09,Chile
CHN,38.55,37.33,40.5,39.57,37.69,46.04,39.95,-1.4,-2.62,0.55,-0.38,-2.26,6.09,China
CIV,28.01,23.77,32.77,29.15,28.37,37.43,29.92,-1.91,-6.15,2.85,-0.77,-1.55,7.51,Ivory Coast
CMR,25.26,22.14,28.27,26.05,25.64,32.32,26.61,-1.35,-4.47,1.66,-0.56,-0.97,5.71,Cameroon
COD,23.63,20.71,25.91,24.52,24.62,29.8,24.86,-1.23,-4.15,1.05,-0.34,-0.24,4.94,DR Congo
COG,25.27,21.86,28.87,26.36,26.24,32.7,26.88,-1.61,-5.02,1.99,-0.52,-0.64,5.82,Congo
COL,68.07,71.62,60.62,66.45,68.86,60.82,66.07,2.0,5.55,-5.45,0.38,2.79,-5.25,Colombia
COM,27.95,24.63,30.36,29.02,28.07,34.68,29.12,-1.17,-4.49,1.24,-0.1,-1.05,5.56,Comoros
CPV,32.96,29.12,37.38,34.4,33.0,41.67,34.76,-1.8,-5.64,2.62,-0.36,-1.76,6.91,Cape Verde
CRI,72.31,75.53,65.36,71.6,73.87,65.06,70.62,1.69,4.91,-5.26,0.98,3.25,-5.56,Costa Rica
CUB,31.06,29.85,31.53,31.29,29.86,37.11,31.78,-0.72,-1.93,-0.25,-0.49,-1.92,5.33,Cuba
CYP,82.77,86.21,76.71,82.55,85.71,76.84,81.8,0.97,4.41,-5.09,0.75,3.91,-4.96,Cyprus
CZE,83.45,87.25,76.85,82.87,86.23,76.94,82.26,1.19,4.99,-5.41,0.61,3.97,-5.32,Czech Republic
DEU,84.49,88.18,77.84,83.74,86.75,78.05,83.18,1.31,5.0,-5.34,0.56,3.57,-5.13,Germany
