passport,openness_count,openness_graded,openness_people_pct,openness_rank,openness_pos,openness_frac,name
AFG,0.0,0.0,0.0,99,197,198.0,Afghanistan
AGO,101.0,100.8,66.13,45,72,74.0,Angola
ALB,92.0,129.1,65.16,53,124,124.0,Albania
AND,93.0,93.0,22.92,52,87,105.0,Andorra
ARE,93.0,129.8,62.58,52,87,105.0,United Arab Emirates
ARG,90.0,90.0,27.31,54,125,125.5,Argentina
ARM,90.0,104.4,57.6,54,125,125.5,Armenia
ATG,113.0,142.8,66.18,36,57,57.0,Antigua and Barbuda
AUS,46.0,85.4,39.82,77,162,162.5,Australia
AUT,93.0,93.0,22.8,52,87,105.0,Austria
AZE,30.0,55.2,44.15,80,166,166.0,Azerbaijan
BDI,198.0,169.2,85.43,1,1,6.0,Burundi
BEL,93.0,93.0,22.77,52,87,105.0,Belgium
BEN,61.0,109.0,58.65,72,156,156.5,Benin
BFA,19.0,81.6,38.88,85,171,171.5,Burkina Faso
BGD,164.0,142.8,48.7,15,32,32.5,Bangladesh
BGR,93.0,93.0,22.84,52,87,105.0,Bulgaria
BHR,71.0,105.2,56.28,66,147,147.5,Bahrain
BHS,122.0,148.6,67.57,31,52,52.0,Bahamas
BIH,99.0,99.0,43.01,46,77,78.0,Bosnia and Herzegovina
BLR,94.0,94.7,46.2,51,85,85.5,Belarus
BLZ,106.0,106.0,29.13,41,64,64.0,Belize
BOL,60.0,108.3,51.89,73,158,158.0,Bolivia
BRA,101.0,102.0,27.82,45,72,74.0,Brazil
BRB,179.0,179.0,94.66,10,27,27.0,Barbados
BRN,64.0,63.2,44.17,70,153,153.0,Brunei
BTN,3.0,71.2,47.98,97,195,195.0,Bhutan
BWA,103.0,135.9,54.17,43,67,68.5,Botswana
CAF,15.0,14.8,2.86,88,177,178.0,Central African Republic
CAN,54.0,38.1,11.31,76,161,161.0,Canada
CHE,93.0,93.0,22.81,52,87,105.0,Switzerland
CHL,93.0,93.0,31.92,52,87,105.0,Chile
CHN,81.0,81.0,17.73,61,136,137.0,China
CIV,198.0,145.5,72.06,1,1,6.0,Ivory Coast
CMR,6.0,73.2,37.05,94,190,190.5,Cameroon
COD,7.0,73.4,35.72,93,187,188.0,DR Congo
COG,15.0,13.5,2.78,88,177,178.0,Congo
COL,101.0,135.0,54.76,45,72,74.0,Colombia
COM,198.0,168.3,84.99,1,1,6.0,Comoros
CPV,198.0,177.3,88.34,1,1,6.0,Cape Verde
CRI,95.0,95.0,26.71,50,83,83.5,Costa Rica
CUB,21.0,75.2,36.25,84,170,170.0,Cuba
CYP,93.0,93.0,22.9,52,87,105.0,Cyprus
CZE,93.0,93.0,22.78,52,87,105.0,Czech Republic
DEU,93.0,93.0,21.9,52,87,105.0,Germany
DJI,198.0,168.4,85.0,1,1,6.0,Djibouti
DMA,196.0,196.0,99.71,3,16,17.0,Dominica
DNK,93.0,93.0,22.84,52,87,105.0,Denmark
DOM,108.0,108.0,28.43,40,63,63.0,Dominican Republic
DZA,7.0,7.0,1.14,93,187,188.0,Algeria
ECU,152.0,168.1,59.92,19,37,37.0,Ecuador
EGY,124.0,108.5,46.46,29,48,48.5,Egypt
ERI,4.0,3.7,3.26,96,194,194.0,Eritrea
ESP,93.0,93.0,22.32,52,87,105.0,Spain
EST,93.0,93.0,22.9,52,87,105.0,Estonia
ETH,119.0,128.8,73.03,34,55,55.0,Ethiopia
FIN,93.0,93.0,22.85,52,87,105.0,Finland
FJI,112.0,112.0,75.77,37,58,58.5,Fiji
FRA,93.0,93.0,22.08,52,87,105.0,France
FSM,198.0,198.0,100.0,1,1,6.0,Micronesia
GAB,9.0,75.1,36.43,91,182,183.5,Gabon
GBR,86.0,60.5,14.62,57,129,130.0,United Kingdom
GEO,103.0,121.2,51.96,43,67,68.5,Georgia
GHA,62.0,58.6,17.45,71,154,154.5,Ghana
GIN,22.0,83.4,40.43,83,169,169.0,Guinea
GMB,132.0,131.8,59.12,28,47,47.0,Gambia
GNB,198.0,170.4,85.81,1,1,6.0,Guinea-Bissau
GNQ,5.0,72.6,36.1,95,192,192.5,Equatorial Guinea
GRC,93.0,93.0,22.79,52,87,105.0,Greece
GRD,123.0,123.0,68.26,30,50,50.5,Grenada
GTM,86.0,86.0,26.61,57,129,130.0,Guatemala
GUY,62.0,109.6,51.51,71,154,154.5,Guyana
HKG,147.0,164.2,56.49,21,39,39.0,Hong Kong
HND,86.0,86.0,26.23,57,129,130.0,Honduras
HRV,93.0,93.0,22.87,52,87,105.0,Croatia
HTI,193.0,193.0,98.81,4,19,19.5,Haiti
HUN,93.0,93.0,22.8,52,87,105.0,Hungary
IDN,98.0,120.7,71.05,47,80,80.0,Indonesia
IND,6.0,61.9,17.35,94,190,190.5,India
IRL,78.0,78.0,21.01,63,140,140.5,Ireland
IRN,188.0,166.2,78.89,7,23,23.0,Iran
IRQ,9.0,73.9,35.5,91,182,183.5,Iraq
ISL,93.0,93.0,22.91,52,87,105.0,Iceland
ISR,101.0,104.6,44.19,45,72,74.0,Israel
ITA,93.0,93.0,22.2,52,87,105.0,Italy
JAM,124.0,120.8,68.59,29,48,48.5,Jamaica
JOR,144.0,124.0,64.87,23,41,41.5,Jordan
JPN,74.0,75.8,37.53,65,143,144.5,Japan
KAZ,85.0,124.6,79.9,58,132,132.5,Kazakhstan
KEN,198.0,161.7,75.16,1,1,6.0,Kenya
KGZ,84.0,123.0,55.85,59,134,134.0,Kyrgyzstan
KHM,197.0,168.6,85.94,2,12,13.5,Cambodia
KIR,123.0,123.0,78.54,30,50,50.5,Kiribati
KNA,121.0,113.2,61.88,32,53,53.0,Saint Kitts and Nevis
KOR,110.0,126.4,49.22,38,60,60.5,South Korea
KWT,57.0,49.6,14.54,75,160,160.0,Kuwait
LAO,170.0,146.8,73.63,13,30,30.0,Laos
LBN,103.0,88.6,45.18,43,67,68.5,Lebanon
LBR,14.0,72.4,27.03,89,180,180.0,Liberia
LBY,2.0,67.8,32.16,98,196,196.0,Libya
LCA,143.0,135.8,68.92,24,43,43.0,Saint Lucia
LIE,93.0,93.0,22.92,52,87,105.0,Liechtenstein
LKA,193.0,164.4,81.24,4,19,19.5,Sri Lanka
LSO,81.0,81.0,19.76,61,136,137.0,Lesotho
LTU,93.0,93.0,22.88,52,87,105.0,Lithuania
LUX,93.0,93.0,22.91,52,87,105.0,Luxembourg
LVA,93.0,93.0,22.89,52,87,105.0,Latvia
MAC,191.0,175.8,69.71,6,22,22.0,Macao
MAR,78.0,78.0,55.35,63,140,140.5,Morocco
MCO,93.0,93.0,22.92,52,87,105.0,Monaco
MDA,102.0,134.2,51.81,44,71,71.0,Moldova
MDG,196.0,166.6,84.46,3,16,17.0,Madagascar
MDV,197.0,168.2,90.4,2,12,13.5,Maldives
MEX,66.0,65.1,18.81,69,151,151.5,Mexico
MHL,110.0,98.3,48.86,38,60,60.5,Marshall Islands
MKD,80.0,80.0,23.88,62,139,139.0,North Macedonia
MLI,26.0,25.7,11.64,81,167,167.0,Mali
