iso3,gdp_pc_ppp,gdp_pc_ppp_year,gdp_total_ppp,gdp_total_ppp_year,trade_openness,trade_openness_year,hdi,hdi_year,internet_users,internet_users_year,tertiary_enroll,tertiary_enroll_year,population,population_year,surface_area,surface_area_year,tourist_arrivals,tourist_arrivals_year,tourism_receipts,tourism_receipts_year,air_departures,air_departures_year,rule_of_law,rule_of_law_year,electoral_democracy,electoral_democracy_year,homicide_rate,homicide_rate_year,gdp_total_usd,gdp_total_usd_year,price_level,price_level_year,country_name,lat,lon,land_area_km2,landlocked,n_land_borders,un_region,un_subregion,languages,english_official,independent,un_member,region,income_group,n_gdp_pc_ppp,n_gdp_total_ppp,n_trade_openness,n_hdi,n_internet_users,n_tertiary_enroll,n_population,n_surface_area,n_tourist_arrivals,n_tourism_receipts,n_air_departures,n_rule_of_law,n_electoral_democracy,n_homicide_rate,n_price_level,p_economy,p_development,p_scale,p_draw,p_security,p_cost,name
AFG,2236.19907311431,2024.0,95368282081.0498,2024.0,83.763025087768,2024.0,0.496,2023.0,16.09499931,2024.0,10.85435962677,2020.0,43844111.0,2025.0,652870.0,2023.0,246000.0,,75000000.0,2020.0,6427.0,2023.0,0.084,2025.0,0.069,2025.0,4.0324584656778,2021.0,17778508875.7396,2024.0,0.18641951483020672,2024.0,Afghanistan,33.0,65.0,652230.0,True,6.0,Asia,Southern Asia,Dari|Pashto|Turkmen,False,True,True,"Middle East, North Africa, Afghanistan & Pakistan",Low income,0.11036773038838874,0.5492768063742585,0.20871985944358223,0.1477885652642934,0.07854668600410183,0.06817655410897784,0.7976437604097898,0.786019910489583,0.4091757715699149,0.3581781673828424,0.5511267673551917,0.06959168249688502,0.0008529096403158278,0.37353424141742453,0.9992794081740899,0.28945479873540986,0.09817060179245769,0.7918318354496864,0.4394935687693164,0.14799294451820846,0.9992794081740899,Afghanistan
AGO,10251.3457063657,2025.0,400212936179.0,2025.0,34.6466403704517,2025.0,0.616,2023.0,40.70479965,2024.0,9.9549065722902,2024.0,39040039.0,2025.0,1246700.0,2023.0,218000.0,2019.0,19000000.0,2020.0,14831.0,2023.0,0.381,2025.0,0.344,2025.0,4.09826656345614,2016.0,122174889423.635,2025.0,0.3052747134815023,2025.0,Angola,-12.5,18.5,1246700.0,False,4.0,Africa,Middle Africa,Portuguese,False,True,True,Sub-Saharan Africa ,Lower middle income,0.4257617840097308,0.6734412795940179,0.05772897112836888,0.3635382955771305,0.34881403471497613,0.06058771650398314,0.7863633425911644,0.836885871432061,0.39582560650392856,0.2156338542498119,0.6221400002177636,0.37291909226464043,0.3359245540501023,0.37112243838079834,0.8721595145430169,0.3856440115773725,0.25764668226536325,0.8116246070116127,0.4111998203238347,0.35998869489851365,0.8721595145430169,Angola
ALB,28220.7950617158,2025.0,66307015661.1063,2025.0,79.5328146239161,2025.0,0.81,2023.0,85.86389923,2024.0,84.1496200561523,2024.0,2349580.0,2025.0,28750.0,2023.0,2658000.0,2020.0,1243000000.0,2020.0,3074.0,2023.0,0.592,2025.0,0.484,2025.0,1.38708340817063,2023.0,30540188271.3421,2025.0,0.4605875858963753,2025.0,Albania,41.0,20.0,28748.0,False,4.0,Europe,Southeast Europe,Albanian,False,True,True,Europe & Central Asia,Upper middle income,0.6355195954574848,0.5178125579290144,0.19571557911282483,0.7123336929162173,0.844755893041201,0.6865810676564591,0.5131947825583797,0.5404691987288555,0.6721209020405395,0.6496718922140469,0.4884939888741523,0.5884143227730457,0.5065064821132663,0.5325305735638112,0.7060468325152053,0.44968257749977475,0.7478902178712925,0.5268319906436176,0.6034289277095796,0.5424837928167077,0.7060468325152053,Albania
AND,79566.7925868466,2025.0,6596405372.61993,2025.0,69.4508260073781,,0.913,2023.0,94.39759827,2024.0,67.6767676767677,2024.0,82904.0,2025.0,470.0,2023.0,5207000.0,2020.0,1910000000.0,2019.0,662492.4,,0.947,,0.78,2024.0,2.58464719565779,2020.0,4500982731.80784,2025.0,0.6823387098813426,2025.0,Andorra,42.5,1.5,468.0,True,2.0,Europe,Southern Europe,Catalan,False,True,True,Europe & Central Asia,High income,0.8502254189620354,0.31802659822206425,0.16472208425451437,0.8975188781014024,0.9384738502116464,0.5475968249818929,0.18812510382890785,0.2169993796545202,0.746411802066152,0.6942686462619468,0.9447853592142109,0.9509773883203627,0.8671654157325275,0.4398023521200141,0.46887605989934006,0.44432470047953804,0.7945298510983139,0.20256224174171403,0.79515526918077,0.7526483853909681,0.46887605989934006,Andorra
ARE,79343.7793099888,2024.0,871702497011.261,2024.0,199.044950127107,2023.0,0.94,2023.0,100.0,2024.0,63.7384451086316,2024.0,11513149.0,2025.0,98647.9,2023.0,8084000.0,2020.0,24615400390.625,2020.0,435257.0,2023.0,0.638,2025.0,0.104,2025.0,0.693218125037315,2022.0,552324919095.872,2024.0,0.6336163094514307,2024.0,United Arab Emirates,24.0,54.0,83600.0,False,2.0,Asia,Western Asia,Arabic,False,True,True,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.8496440298053094,0.7408325760312167,0.5631132124674022,0.9460625674217906,1.0,0.5143685311239595,0.6676715640948067,0.6374174417140157,0.7950106192155912,0.9596499825605603,0.9091117370072571,0.6353943256326982,0.043498391656106826,0.6358709528633275,0.5209864129203472,0.7178632727679761,0.82014369951525,0.6525445029044112,0.8879241129278029,0.4382545567173775,0.5209864129203472,United Arab Emirates
ARG,32586.6312086783,2025.0,1494141945295.71,2025.0,30.364633685192,2025.0,0.865,2023.0,89.66715228,2024.0,107.822574129434,2023.0,45851378.0,2025.0,2780400.0,2023.0,7399000.0,2019.0,1702000000.0,2020.0,156614.0,2023.0,0.577,2025.0,0.69,2025.0,4.49291137824536,2023.0,683097891618.597,2025.0,0.45718406726303584,2025.0,Argentina,-34.0,-64.0,2780400.0,False,5.0,Americas,South America,Guaraní|Spanish,False,True,True,Latin America & Caribbean ,Upper middle income,0.6653148738285307,0.7874821375658873,0.04456546170274332,0.8112189859762675,0.8865236076954859,0.8863137865547609,0.8019949416701594,0.8999570583711957,0.7852283942668831,0.6822987563616437,0.8223079400437248,0.5730947566231591,0.7575056048347791,0.3574249251606554,0.7096870176442616,0.4991208243657204,0.8613521267421714,0.8509760000206775,0.7632783635574172,0.5626750955395312,0.7096870176442616,Argentina
ARM,24754.2118320452,2025.0,76408825661.974,2025.0,101.705936395702,2025.0,0.811,2023.0,81.33930206,2024.0,52.7748065090859,2024.0,3086700.0,2025.0,29740.0,2023.0,375000.0,2020.0,303000000.0,2020.0,11415.0,2023.0,0.453,2025.0,0.614,2025.0,2.20833575400906,2023.0,29243452882.3545,2025.0,0.3827234959967189,2025.0,Armenia,40.0,45.0,29743.0,True,4.0,Asia,Western Asia,Armenian,False,True,True,Europe & Central Asia,Upper middle income,0.6083714366526303,0.5300885378419146,0.2638789704599696,0.7141316073354909,0.7950663033563532,0.42186645724982774,0.539717590432095,0.5431313356104515,0.45575405945361375,0.503130547891992,0.5999080146103095,0.4464530097840963,0.6649039867433473,0.4632456440014589,0.7893252665933322,0.4674463149848381,0.643688122647224,0.5414244630212732,0.5195975406519717,0.5248675468429674,0.7893252665933322,Armenia
ATG,35832.4795485115,2025.0,3375742065.78572,2025.0,118.302584056113,2022.0,0.851,2023.0,72.73040009,2024.0,25.1156271899089,2012.0,94209.0,2025.0,440.0,2023.0,384500.0,2020.0,416000000.0,2020.0,1057.0,2022.0,0.9295,,0.7845,,10.7163332993983,2023.0,2338196296.2963,2025.0,0.6926466094654283,2025.0,Antigua and Barbuda,17.05,-61.8,442.0,False,0.0,Americas,Caribbean,English,True,True,True,Latin America & Caribbean ,High income,0.6849831202517269,0.26003186700370645,0.31489947182062,0.7860481841064365,0.7005224599037931,0.18850128149637066,0.20055052410044213,0.2118129009263401,0.45851805327612283,0.5360352479697289,0.397835348694631,0.933104561145495,0.8726484062774149,0.22791410263632814,0.4578513919541616,0.4199714863586845,0.5583573085022001,0.20618171251339112,0.4641295499801609,0.6778890233530793,0.4578513919541616,Antigua and Barbuda
AUS,71934.4033931263,2025.0,1986426180337.58,2025.0,45.9014493880126,2025.0,0.958,2023.0,96.13140106,2024.0,108.421989440918,2024.0,27614411.0,2025.0,7741220.0,2023.0,1828000.0,2020.0,26234000000.0,2020.0,678852.0,2023.0,0.99,2025.0,0.844,2025.0,0.854406035826682,2023.0,1798518933689.21,2025.0,0.90540436462812,2025.0,Australia,-27.0,133.0,7692024.0,False,0.0,Oceania,Australia and New Zealand,English,True,True,True,East Asia & Pacific,High income,0.8293372209238055,0.8121362547902234,0.09232788595404556,0.9784250269687162,0.9575146500867752,0.8913711549567508,0.7527075450017312,0.9804745493283997,0.6307620803403999,0.9662613934982084,0.9468569641947087,0.9948934779500378,0.9451457257042596,0.6047231771548583,0.23029934953306708,0.5779337872226915,0.9424369440040808,0.8665910471650655,0.8479601460111056,0.8482541269363852,0.23029934953306708,Australia
AUT,76777.5421537618,2025.0,706980122891.209,2025.0,107.01983926573,2025.0,0.93,2023.0,91.92573373,2025.0,92.6126708984375,2024.0,9208163.0,2025.0,83879.0,2023.0,15091000.0,2020.0,15362000000.0,2020.0,325904.0,2023.0,0.932,2025.0,0.839,2025.0,0.876191031111463,2023.0,579470021095.418,2025.0,0.8196411784898053,2025.0,Austria,47.33333333,13.33333333,83871.0,True,8.0,Europe,Central Europe,Austro-Bavarian German,False,True,True,Europe & Central Asia,High income,0.8428337900308285,0.722700663767774,0.2802146783787044,0.9280834232290542,0.9113275805805038,0.7579852595317766,0.6459569495338421,0.6246645968122545,0.8639743149410911,0.9107033509548842,0.8845407722768087,0.9356578221704762,0.939053513987718,0.6009720072220716,0.3220261500691548,0.615249710725769,0.8657987544471116,0.6353107731730483,0.8864061460575946,0.8252277811267552,0.3220261500691548,Austria
