indicator,pc1_loading,entropy_weight,pillar
gdp_pc_ppp,0.3674,0.0624,economy
gdp_total_ppp,0.1738,0.0393,economy
trade_openness,0.1652,0.1114,economy
hdi,0.3742,0.0643,development
internet_users,0.3428,0.0625,development
tertiary_enroll,0.336,0.1449,development
population,-0.0106,0.0396,scale
surface_area,-0.0462,0.0414,scale
tourist_arrivals,0.266,0.046,draw
tourism_receipts,0.3052,0.0498,draw
air_departures,0.2317,0.0308,draw
rule_of_law,0.286,0.0975,security
electoral_democracy,0.2364,0.105,security
homicide_rate,0.1804,0.0621,security
price_level,-0.217,0.0431,cost
