passport,rank_binary_henley,score_binary_henley,rank_graded,score_graded,rank_strict,score_strict,rank_spread
AFG,199.0,17.0,199.0,33.8,199.0,2.9,0.0
AGO,172.0,39.9,167.0,54.8,165.0,20.1,7.0
ALB,90.0,113.8,89.0,122.0,85.5,85.2,4.5
AND,45.0,155.8,47.0,155.9,51.0,111.6,6.0
ARE,1.0,173.2,1.0,171.8,2.0,136.8,1.0
ARG,46.5,154.9,46.0,156.5,45.0,117.1,1.5
ARM,121.0,64.5,124.0,72.5,130.0,34.4,9.0
ATG,62.0,136.3,60.0,142.7,58.0,106.6,4.0
AUS,34.5,164.6,35.5,164.3,43.0,120.0,8.5
AUT,24.0,166.7,26.0,166.5,27.0,127.7,3.0
AZE,118.0,65.9,119.0,73.7,128.0,34.8,10.0
BDI,174.0,39.1,176.0,52.2,177.5,15.3,3.5
BEL,12.0,167.8,9.0,167.4,3.0,131.1,9.0
BEN,143.0,50.1,142.0,62.3,139.0,29.6,4.0
BFA,157.0,45.3,155.5,58.4,149.0,25.2,8.0
BGD,194.0,26.3,193.0,41.7,182.0,13.2,12.0
BGR,31.0,165.6,31.0,165.8,25.5,127.9,5.5
BHR,100.0,82.9,104.0,87.7,104.0,52.1,4.0
BHS,53.0,144.3,52.0,148.7,54.0,109.1,2.0
BIH,84.0,116.3,85.0,125.5,83.0,88.1,2.0
BLR,108.0,77.3,110.0,82.9,109.0,44.1,2.0
BLZ,103.0,81.1,100.0,90.8,99.0,57.5,4.0
BOL,115.0,67.6,115.0,77.5,131.0,34.3,16.0
BRA,46.5,154.9,45.0,156.6,42.0,120.9,4.5
BRB,50.0,145.9,49.0,151.9,49.0,113.4,1.0
BRN,49.0,146.3,51.0,149.2,50.0,113.2,2.0
BTN,163.0,44.1,161.5,57.2,173.5,16.9,12.0
BWA,120.0,64.8,120.0,73.2,113.0,42.6,7.0
CAF,170.5,40.3,171.0,53.7,170.0,17.8,1.0
CAN,40.0,162.1,40.0,162.6,38.0,123.6,2.0
CHE,12.0,167.8,12.0,167.3,16.0,129.1,4.0
CHL,44.0,157.1,44.0,157.8,46.0,116.9,2.0
CHN,114.0,70.6,114.0,77.8,116.0,40.3,2.0
CIV,164.0,43.1,160.0,57.3,157.0,23.2,7.0
CMR,179.0,37.4,178.0,51.3,173.5,16.9,5.5
COD,183.0,34.4,183.0,48.0,181.0,13.4,2.0
COG,177.0,38.3,177.0,51.8,175.0,16.8,2.0
COL,74.0,124.4,72.0,133.2,72.0,96.0,2.0
COM,161.0,44.4,164.0,56.3,171.0,17.5,10.0
CPV,135.0,55.2,131.0,67.1,127.0,35.0,8.0
CRI,64.0,135.5,61.0,142.3,66.0,101.1,5.0
CUB,144.5,49.7,144.0,61.8,147.0,25.6,3.0
CYP,39.0,163.1,35.5,164.3,20.0,128.4,19.0
CZE,31.0,165.6,33.0,165.4,31.0,126.7,2.0
