passport,rank_winsor_minmax,rank_rank,rank_zscore,rank_spread
AFG,199.0,199.0,199.0,0.0
AGO,167.0,167.0,169.0,2.0
ALB,89.0,88.0,90.0,2.0
AND,47.0,45.0,47.0,2.0
ARE,1.0,1.0,1.0,0.0
ARG,46.0,46.0,46.0,0.0
ARM,124.0,121.5,125.0,3.5
ATG,60.0,62.0,60.0,2.0
AUS,35.5,36.0,36.0,0.5
AUT,26.0,26.0,26.0,0.0
AZE,119.0,118.0,119.0,1.0
BDI,176.0,176.0,176.0,0.0
BEL,9.0,10.0,9.5,1.0
BEN,142.0,142.0,142.0,0.0
BFA,155.5,158.0,155.0,3.0
BGD,193.0,194.0,193.0,1.0
BGR,31.0,30.5,31.0,0.5
BHR,104.0,102.0,104.0,2.0
BHS,52.0,53.0,52.0,1.0
BIH,85.0,84.0,85.0,1.0
BLR,110.0,110.0,109.0,1.0
BLZ,100.0,100.0,100.0,0.0
BOL,115.0,115.0,115.0,0.0
BRA,45.0,47.5,45.0,2.5
BRB,49.0,49.0,49.0,0.0
BRN,51.0,50.0,51.0,1.0
BTN,161.5,159.0,162.5,3.5
BWA,120.0,123.5,120.0,3.5
CAF,171.0,172.0,171.0,1.0
CAN,40.0,40.0,40.0,0.0
CHE,12.0,13.5,11.5,2.0
CHL,44.0,44.0,44.0,0.0
CHN,114.0,114.0,114.0,0.0
CIV,160.0,162.0,158.0,4.0
CMR,178.0,179.0,178.0,1.0
COD,183.0,183.0,183.0,0.0
COG,177.0,177.5,177.0,0.5
COL,72.0,72.0,72.0,0.0
COM,164.0,165.0,164.5,1.0
CPV,131.0,131.0,131.0,0.0
CRI,61.0,61.0,61.0,0.0
CUB,144.0,142.0,146.5,4.5
CYP,35.5,36.0,35.0,1.0
CZE,33.0,33.0,33.0,0.0
DEU,14.5,15.0,14.0,1.0
DJI,172.5,173.0,174.0,1.5
DMA,70.0,70.0,70.0,0.0
DNK,9.0,10.0,9.5,1.0
DOM,121.0,121.5,122.0,1.0
DZA,157.0,155.0,157.0,2.0
ECU,105.0,103.0,105.0,2.0
EGY,170.0,169.5,170.0,0.5
ERI,188.5,188.0,189.0,1.0
ESP,3.5,4.0,3.0,1.0
EST,27.0,27.0,28.5,1.5
ETH,181.0,181.0,181.0,0.0
FIN,6.5,7.0,7.0,0.5
FJI,107.0,108.0,107.0,1.0
FRA,12.0,10.0,11.5,2.0
FSM,92.0,92.0,92.0,0.0
GAB,149.5,149.0,149.0,0.5
GBR,39.0,39.0,39.0,0.0
GEO,76.0,76.0,77.0,1.0
GHA,136.5,137.0,135.0,2.0
GIN,154.0,154.0,155.0,1.0
GMB,134.0,136.0,133.5,2.5
GNB,168.5,169.5,167.0,2.5
GNQ,158.5,163.0,159.0,4.5
GRC,24.5,25.0,23.5,1.5
GRD,66.0,66.0,65.5,0.5
GTM,75.0,74.5,76.0,1.5
GUY,106.0,107.0,106.0,1.0
HKG,42.0,42.0,42.0,0.0
HND,79.0,78.0,79.0,1.0
HRV,21.0,21.0,23.5,2.5
HTI,172.5,171.0,175.0,4.0
HUN,21.0,23.0,23.5,2.5
IDN,113.0,112.0,112.5,1.0
IND,143.0,142.0,143.0,1.0
IRL,17.0,18.5,17.0,1.5
IRN,185.5,184.5,187.5,3.0
IRQ,196.0,195.0,196.0,1.0
ISL,37.0,36.0,37.0,1.0
ISR,50.0,51.0,50.0,1.0
ITA,14.5,13.5,14.0,1.0
JAM,102.0,105.0,103.0,3.0
JOR,161.5,156.5,162.5,6.0
JPN,12.0,5.5,14.0,8.5
KAZ,112.0,111.0,112.5,1.5
KEN,132.0,134.0,132.0,2.0
KGZ,135.0,132.5,136.0,3.5
KHM,153.0,151.0,155.0,4.0
KIR,84.0,85.0,83.0,2.0
KNA,55.0,55.0,55.0,0.0
KOR,3.5,3.0,4.0,1.0
KWT,98.0,98.0,97.0,1.0
LAO,165.5,161.0,166.0,5.0
LBN,180.0,180.0,180.0,0.0
LBR,175.0,175.0,172.5,2.5
LBY,185.5,186.0,185.0,1.0
