passport,rank_all_destinations,rank_well_measured_only,rank_shift
AFG,199,199,0
AGO,167,167,0
ALB,89,90,-1
AND,47,45,2
ARE,1,1,0
ARG,46,47,-1
ARM,124,118,6
ATG,60,61,-1
AUS,35,36,-1
AUT,26,26,0
AZE,119,117,2
BDI,176,178,-2
BEL,8,8,0
BEN,142,140,2
BFA,155,157,-2
BGD,193,195,-2
BGR,31,30,1
BHR,104,101,3
BHS,52,50,2
BIH,85,82,3
BLR,110,109,1
BLZ,100,102,-2
BOL,115,115,0
BRA,45,46,-1
BRB,49,49,0
BRN,51,51,0
BTN,161,163,-2
BWA,120,124,-4
CAF,171,171,0
CAN,40,39,1
CHE,11,11,0
CHL,44,44,0
CHN,114,114,0
CIV,160,159,1
CMR,178,179,-1
COD,183,182,1
COG,177,176,1
COL,72,72,0
COM,164,164,0
CPV,131,129,2
CRI,61,62,-1
CUB,144,146,-2
CYP,35,36,-1
CZE,33,32,1
DEU,14,14,0
DJI,172,175,-3
DMA,70,70,0
DNK,8,8,0
DOM,121,120,1
DZA,157,153,4
ECU,105,104,1
EGY,170,169,1
ERI,188,188,0
ESP,3,11,-8
EST,27,27,0
ETH,181,183,-2
FIN,6,5,1
FJI,107,108,-1
FRA,11,11,0
FSM,92,91,1
GAB,149,147,2
GBR,39,40,-1
GEO,76,73,3
GHA,136,137,-1
GIN,154,154,0
GMB,134,134,0
GNB,168,169,-1
GNQ,158,159,-1
GRC,24,25,-1
GRD,66,66,0
GTM,75,76,-1
GUY,106,106,0
HKG,42,43,-1
HND,79,78,1
HRV,19,21,-2
HTI,172,173,-1
HUN,19,21,-2
IDN,113,112,1
IND,143,143,0
IRL,16,16,0
IRN,185,186,-1
IRQ,196,194,2
ISL,37,38,-1
ISR,50,52,-2
ITA,14,14,0
JAM,102,103,-1
JOR,161,162,-1
JPN,11,8,3
KAZ,112,111,1
KEN,132,136,-4
KGZ,135,133,2
KHM,153,156,-3
KIR,84,84,0
KNA,55,57,-2
KOR,3,3,0
KWT,98,98,0
LAO,165,166,-1
LBN,180,177,3
LBR,175,172,3
LBY,185,185,0
LCA,69,69,0
LIE,38,34,4
LKA,187,189,-2
LSO,126,127,-1
LTU,34,35,-1
LUX,5,4,1
LVA,28,27,1
MAC,62,64,-2
MAR,122,122,0
MCO,41,41,0
MDA,90,87,3
MDG,145,142,3
MDV,103,105,-2
MEX,54,54,0
MHL,87,89,-2
MKD,77,77,0
MLI,165,165,0
MLT,16,18,-2
MMR,179,180,-1
MNE,73,74,-1
MNG,122,121,1
MOZ,151,152,-1
MRT,158,159,-1
MUS,68,68,0
MWI,128,130,-2
MYS,32,32,0
NAM,125,125,0
NER,163,158,5
NGA,188,187,1
NIC,83,86,-3
NLD,8,5,3
NOR,16,16,0
NPL,184,183,1
NRU,116,119,-3
NZL,29,29,0
OMN,108,107,1
PAK,197,197,0
PAN,65,63,2
PER,57,55,2
PHL,129,128,1
PLW,91,92,-1
PNG,118,123,-5
POL,24,21,3
PRK,191,190,1
PRT,19,21,-2
PRY,63,65,-2
PSE,192,192,0
QAT,95,95,0
ROU,29,30,-1
RUS,93,93,0
RWA,147,147,0
SAU,101,100,1
SDN,190,191,-1
SEN,151,149,2
SGP,2,2,0
SLB,78,79,-1
SLE,146,150,-4
SLV,74,75,-1
SMR,48,48,0
SOM,195,195,0
SRB,71,71,0
SSD,182,181,1
STP,139,140,-1
SUR,117,116,1
SVK,19,19,0
SVN,19,19,0
SWE,6,5,1
SWZ,127,131,-4
SYC,59,58,1
SYR,198,198,0
TCD,168,168,0
TGO,155,155,0
THA,109,110,-1
TJK,148,145,3
TKM,174,174,0
TLS,96,96,0
TON,86,85,1
TTO,67,67,0
TUN,130,126,4
TUR,94,94,0
TUV,81,83,-2
TWN,82,80,2
TZA,133,134,-1
UGA,141,144,-3
UKR,64,60,4
URY,53,53,0
USA,43,42,1
UZB,136,132,4
VAT,58,56,2
VCT,56,59,-3
VEN,88,88,0
VNM,149,151,-2
VUT,111,113,-2
WSM,80,80,0
XKX,97,99,-2
YEM,194,193,1
ZAF,99,97,2
ZMB,138,138,0
ZWE,140,139,1
