,henley,graded_count,binary_weighted,ahi_balanced,ahi_business,ahi_leisure,ahi_settlement,ahi_reach,ahi_pca,ahi_entropy,gdp_share,pop_share,ahi_gamma_flat,ahi_gamma_sharp,ahi_gamma_extreme,stay_days
henley,1.0,0.9803754082176055,0.9740763643429534,0.9705695982370024,0.9710261881766967,0.9730199768119969,0.9686763926472873,0.9729424757691395,0.9643577739980613,0.9686801048069469,0.7991966436753422,0.788489877385984,0.9776486842148381,0.9544164411799164,0.9109848697842101,0.9044264620377643
graded_count,0.9803754082176055,1.0,0.963347631985614,0.9718675897294519,0.9721190851304535,0.9755787647132698,0.9720187673039834,0.9729578723049926,0.9639051222708357,0.9720216493179314,0.7906875067978059,0.7765242592836803,0.9846107424093394,0.950246791695793,0.9059042353080612,0.909595206695461
binary_weighted,0.9740763643429534,0.963347631985614,1.0,0.9827491845634808,0.9829000471467223,0.9808643198187117,0.9795930579821344,0.9772757585466422,0.9811457164330037,0.9801040549335392,0.8152355991570871,0.7932883144662078,0.9770236830807696,0.9763881837313333,0.9354438101722539,0.8862796279060621
ahi_balanced,0.9705695982370024,0.9718675897294519,0.9827491845634808,1.0,0.9984233598595605,0.9948631930218971,0.9921680326109603,0.9846146101006894,0.9897017319547124,0.9945080104391683,0.8110376468056405,0.7889523289524255,0.9882777738593046,0.979607404393816,0.9348251775454037,0.8917912265837471
ahi_business,0.9710261881766967,0.9721190851304535,0.9829000471467223,0.9984233598595605,1.0,0.9933367243133265,0.9922180980231501,0.9852234291952641,0.9886834705679072,0.9939988927164133,0.810815216595592,0.7889309378075896,0.9881240015532331,0.9791984589361784,0.9343099110368643,0.8918819433559246
ahi_leisure,0.9730199768119969,0.9755787647132698,0.9808643198187117,0.9948631930218971,0.9933367243133265,1.0,0.9873353351868663,0.9869020069826276,0.9843094400895472,0.9901846222148155,0.8086806898877434,0.7903539917442393,0.9913790940022452,0.9752822754147487,0.9311563798438606,0.8942704591016641
ahi_settlement,0.9686763926472873,0.9720187673039834,0.9795930579821344,0.9921680326109603,0.9922180980231501,0.9873353351868663,0.9999999999999998,0.9763739506049904,0.9901589322972517,0.9969995983219863,0.806708419499634,0.7828939612780234,0.9860394154491303,0.9760972397304916,0.9316176286612339,0.8929037363933342
ahi_reach,0.9729424757691395,0.9729578723049926,0.9772757585466422,0.9846146101006894,0.9852234291952641,0.9869020069826276,0.9763739506049904,0.9999999999999998,0.9742637759577959,0.978563270429955,0.8110899551038482,0.7951007852866714,0.9824525761629228,0.9711873536790465,0.927975586144486,0.8893635880519621
ahi_pca,0.9643577739980613,0.9639051222708357,0.9811457164330037,0.9897017319547124,0.9886834705679072,0.9843094400895472,0.9901589322972517,0.9742637759577959,0.9999999999999998,0.9911261438990067,0.8150729067897493,0.787498625695855,0.9793012256522401,0.9847687342670496,0.9405452153350544,0.8851570586621568
ahi_entropy,0.9686801048069469,0.9720216493179314,0.9801040549335392,0.9945080104391683,0.9939988927164133,0.9901846222148155,0.9969995983219863,0.978563270429955,0.9911261438990067,0.9999999999999998,0.8084556896016932,0.7851518558553566,0.9872104582612324,0.9779303343434905,0.9329976936087485,0.8928129249274097
gdp_share,0.7991966436753422,0.7906875067978059,0.8152355991570871,0.8110376468056405,0.810815216595592,0.8086806898877434,0.806708419499634,0.8110899551038482,0.8150729067897493,0.8084556896016932,1.0,0.8732258476853059,0.8020634508300151,0.8261810815642922,0.8517053179037591,0.7329643555706725
pop_share,0.788489877385984,0.7765242592836803,0.7932883144662078,0.7889523289524255,0.7889309378075896,0.7903539917442393,0.7828939612780234,0.7951007852866714,0.787498625695855,0.7851518558553566,0.8732258476853059,1.0,0.7845510959920373,0.7960668749139932,0.7941455466296344,0.7288699338176059
ahi_gamma_flat,0.9776486842148381,0.9846107424093394,0.9770236830807696,0.9882777738593046,0.9881240015532331,0.9913790940022452,0.9860394154491303,0.9824525761629228,0.9793012256522401,0.9872104582612324,0.8020634508300151,0.7845510959920373,0.9999999999999998,0.9667658354893932,0.9220323478510355,0.9010115280520524
ahi_gamma_sharp,0.9544164411799164,0.950246791695793,0.9763881837313333,0.979607404393816,0.9791984589361784,0.9752822754147487,0.9760972397304916,0.9711873536790465,0.9847687342670496,0.9779303343434905,0.8261810815642922,0.7960668749139932,0.9667658354893932,1.0,0.9557279112362344,0.8751749456097935
ahi_gamma_extreme,0.9109848697842101,0.9059042353080612,0.9354438101722539,0.9348251775454037,0.9343099110368643,0.9311563798438606,0.9316176286612339,0.927975586144486,0.9405452153350544,0.9329976936087485,0.8517053179037591,0.7941455466296344,0.9220323478510355,0.9557279112362344,0.9999999999999998,0.8390591605550431
stay_days,0.9044264620377643,0.909595206695461,0.8862796279060621,0.8917912265837471,0.8918819433559246,0.8942704591016641,0.8929037363933342,0.8893635880519621,0.8851570586621568,0.8928129249274097,0.7329643555706725,0.7288699338176059,0.9010115280520524,0.8751749456097935,0.8390591605550431,1.0
