passport,baseline_rank,target_rank,weighting_only_rank,friction_only_rank,baseline_pos,target_pos,total_move,weighting_effect,friction_effect,name
AFG,199.0,199.0,199.0,199.0,199,199,0.0,0.0,0.0,Afghanistan
AGO,171.0,167.0,172.0,169.0,170,167,4.0,-1.0,2.0,Angola
ALB,92.0,89.0,90.0,92.5,92,89,3.0,2.0,-0.5,Albania
AND,47.0,47.0,45.0,47.0,47,47,0.0,2.0,0.0,Andorra
ARE,1.0,1.0,1.0,1.0,1,1,0.0,0.0,0.0,United Arab Emirates
ARG,45.5,46.0,46.5,45.0,45,46,-0.5,-1.0,0.5,Argentina
ARM,126.0,124.0,121.0,130.0,125,124,2.0,5.0,-4.0,Armenia
ATG,60.0,60.0,62.0,58.0,60,60,0.0,-2.0,2.0,Antigua and Barbuda
AUS,34.5,35.5,34.5,36.0,34,35,-1.0,0.0,-1.5,Australia
AUT,23.0,26.0,24.0,25.0,19,26,-3.0,-1.0,-2.0,Austria
AZE,119.0,119.0,118.0,122.0,118,119,0.0,1.0,-3.0,Azerbaijan
BDI,171.0,176.0,174.0,175.0,170,176,-5.0,-3.0,-4.0,Burundi
BEL,12.0,9.0,12.0,11.0,6,8,3.0,0.0,1.0,Belgium
BEN,142.5,142.0,143.0,140.0,141,142,0.5,-0.5,2.5,Benin
BFA,154.0,155.5,157.0,152.0,153,155,-1.5,-3.0,2.0,Burkina Faso
BGD,193.5,193.0,194.0,193.0,193,193,0.5,-0.5,0.5,Bangladesh
BGR,30.5,31.0,31.0,30.0,28,31,-0.5,-0.5,0.5,Bulgaria
BHR,100.0,104.0,100.0,105.5,99,104,-4.0,0.0,-5.5,Bahrain
BHS,51.5,52.0,53.0,51.0,51,52,-0.5,-1.5,0.5,Bahamas
BIH,88.0,85.0,84.0,87.0,87,85,3.0,4.0,1.0,Bosnia and Herzegovina
BLR,107.5,110.0,108.0,110.0,107,110,-2.5,-0.5,-2.5,Belarus
BLZ,98.0,100.0,103.0,99.0,98,100,-2.0,-5.0,-1.0,Belize
BOL,119.0,115.0,115.0,117.0,118,115,4.0,4.0,2.0,Bolivia
BRA,44.0,45.0,46.5,44.0,44,45,-1.0,-2.5,0.0,Brazil
BRB,49.0,49.0,50.0,49.0,49,49,0.0,-1.0,0.0,Barbados
BRN,51.5,51.0,49.0,52.0,51,51,0.5,2.5,-0.5,Brunei
BTN,166.0,161.5,163.0,165.0,165,161,4.5,3.0,1.0,Bhutan
BWA,116.5,120.0,120.0,119.0,116,120,-3.5,-3.5,-2.5,Botswana
CAF,168.5,171.0,170.5,170.0,168,171,-2.5,-2.0,-1.5,Central African Republic
CAN,39.5,40.0,40.0,40.0,39,40,-0.5,-0.5,-0.5,Canada
CHE,12.0,12.0,12.0,13.0,6,11,0.0,0.0,-1.0,Switzerland
CHL,45.5,44.0,44.0,46.0,45,44,1.5,1.5,-0.5,Chile
CHN,113.5,114.0,114.0,113.0,113,114,-0.5,-0.5,0.5,China
CIV,157.0,160.0,164.0,153.5,156,160,-3.0,-7.0,3.5,Ivory Coast
CMR,174.0,178.0,179.0,174.0,173,178,-4.0,-5.0,0.0,Cameroon
COD,182.5,183.0,183.0,185.0,181,183,-0.5,-0.5,-2.5,DR Congo
COG,174.0,177.0,177.0,177.0,173,177,-3.0,-3.0,-3.0,Congo
COL,75.0,72.0,74.0,73.0,74,72,3.0,1.0,2.0,Colombia
COM,161.0,164.0,161.0,163.5,161,164,-3.0,0.0,-2.5,Comoros
CPV,133.0,131.0,135.0,133.0,132,131,2.0,-2.0,0.0,Cape Verde
CRI,63.5,61.0,64.0,62.0,63,61,2.5,-0.5,1.5,Costa Rica
CUB,147.5,144.0,144.5,148.0,146,144,3.5,3.0,-0.5,Cuba
