country,reaches,admits,mutual,mobility_balance,reciprocated_share,one_way_out,one_way_in,name
AFG,22,0,0,22,0.0,22,0,Afghanistan
AGO,47,101,21,-54,44.7,26,80,Angola
ALB,106,92,68,14,64.2,38,24,Albania
AND,146,93,87,53,59.6,59,6,Andorra
ARE,169,93,91,76,53.8,78,2,United Arab Emirates
ARG,148,90,87,58,58.8,61,3,Argentina
ARM,67,90,33,-23,49.3,34,57,Armenia
ATG,132,113,95,19,72.0,37,18,Antigua and Barbuda
AUS,157,46,46,111,29.3,111,0,Australia
AUT,159,93,93,66,58.5,66,0,Austria
AZE,71,30,22,41,31.0,49,8,Azerbaijan
BDI,47,198,47,-151,100.0,0,151,Burundi
BEL,160,93,93,67,58.1,67,0,Belgium
BEN,59,61,37,-2,62.7,22,24,Benin
BFA,54,19,17,35,31.5,37,2,Burkina Faso
BGD,33,164,30,-131,90.9,3,134,Bangladesh
BGR,158,93,92,65,58.2,66,1,Bulgaria
BHR,86,71,20,15,23.3,66,51,Bahrain
BHS,139,122,106,17,76.3,33,16,Bahamas
BIH,110,99,70,11,63.6,40,29,Bosnia and Herzegovina
BLR,81,94,41,-13,50.6,40,53,Belarus
BLZ,87,106,57,-19,65.5,30,49,Belize
BOL,71,60,17,11,23.9,54,43,Bolivia
BRA,149,101,100,48,67.1,49,1,Brazil
BRB,141,179,132,-38,93.6,9,47,Barbados
BRN,139,64,64,75,46.0,75,0,Brunei
BTN,49,3,3,46,6.1,46,0,Bhutan
BWA,72,103,42,-31,58.3,30,61,Botswana
CAF,48,15,10,33,20.8,38,5,Central African Republic
CAN,155,54,54,101,34.8,101,0,Canada
CHE,160,93,93,67,58.1,67,0,Switzerland
CHL,148,93,91,55,61.5,57,2,Chile
CHN,77,81,32,-4,41.6,45,49,China
CIV,53,198,53,-145,100.0,0,145,Ivory Coast
CMR,46,6,6,40,13.0,40,0,Cameroon
COD,41,7,6,34,14.6,35,1,DR Congo
COG,46,15,9,31,19.6,37,6,Congo
COL,117,101,86,16,73.5,31,15,Colombia
COM,51,198,51,-147,100.0,0,147,Comoros
CPV,64,198,64,-134,100.0,0,134,Cape Verde
CRI,128,95,82,33,64.1,46,13,Costa Rica
CUB,56,21,14,35,25.0,42,7,Cuba
CYP,156,93,92,63,59.0,64,1,Cyprus
CZE,158,93,93,65,58.9,65,0,Czech Republic
DEU,160,93,93,67,58.1,67,0,Germany
DJI,45,198,45,-153,100.0,0,153,Djibouti
DMA,123,196,121,-73,98.4,2,75,Dominica
DNK,160,93,93,67,58.1,67,0,Denmark
DOM,67,108,33,-41,49.3,34,75,Dominican Republic
DZA,54,7,7,47,13.0,47,0,Algeria
ECU,85,152,72,-67,84.7,13,80,Ecuador
EGY,48,124,22,-76,45.8,26,102,Egypt
ERI,36,4,2,32,5.6,34,2,Eritrea
ESP,161,93,93,68,57.8,68,0,Spain
EST,158,93,93,65,58.9,65,0,Estonia
ETH,42,119,22,-77,52.4,20,97,Ethiopia
FIN,160,93,93,67,58.1,67,0,Finland
FJI,81,112,52,-31,64.2,29,60,Fiji
FRA,160,93,93,67,58.1,67,0,France
FSM,104,198,104,-94,100.0,0,94,Micronesia
GAB,56,9,8,47,14.3,48,1,Gabon
GBR,156,86,86,70,55.1,70,0,United Kingdom
GEO,119,103,83,16,69.7,36,20,Georgia
GHA,64,62,42,2,65.6,22,20,Ghana
GIN,53,22,20,31,37.7,33,2,Guinea
GMB,65,132,54,-67,83.1,11,78,Gambia
GNB,49,198,49,-149,100.0,0,149,Guinea-Bissau
GNQ,54,5,3,49,5.6,51,2,Equatorial Guinea
GRC,159,93,93,66,58.5,66,0,Greece
GRD,128,123,101,5,78.9,27,22,Grenada
GTM,114,86,68,28,59.6,46,18,Guatemala
GUY,82,62,38,20,46.3,44,24,Guyana
HKG,153,147,131,6,85.6,22,16,Hong Kong
HND,114,86,68,28,59.6,46,18,Honduras
HRV,159,93,93,66,58.5,66,0,Croatia
HTI,45,193,44,-148,97.8,1,149,Haiti
HUN,159,93,93,66,58.5,66,0,Hungary
IDN,77,98,41,-21,53.2,36,57,Indonesia
IND,55,6,3,49,5.5,52,3,India
IRL,160,78,78,82,48.8,82,0,Ireland
IRN,39,188,39,-149,100.0,0,149,Iran
IRQ,29,9,3,20,10.3,26,6,Iraq
ISL,155,93,93,62,60.0,62,0,Iceland
ISR,140,101,100,39,71.4,40,1,Israel
ITA,160,93,93,67,58.1,67,0,Italy
JAM,84,124,58,-40,69.0,26,66,Jamaica
JOR,49,144,34,-95,69.4,15,110,Jordan
JPN,162,74,74,88,45.7,88,0,Japan
KAZ,78,85,38,-7,48.7,40,47,Kazakhstan
KEN,66,198,66,-132,100.0,0,132,Kenya
KGZ,61,84,20,-23,32.8,41,64,Kyrgyzstan
KHM,50,197,50,-147,100.0,0,147,Cambodia
KIR,112,123,85,-11,75.9,27,38,Kiribati
KNA,136,121,99,15,72.8,37,22,Saint Kitts and Nevis
KOR,163,110,109,53,66.9,54,1,South Korea
KWT,96,57,17,39,17.7,79,40,Kuwait
LAO,45,170,37,-125,82.2,8,133,Laos
LBN,43,103,17,-60,39.5,26,86,Lebanon
LBR,47,14,14,33,29.8,33,0,Liberia
LBY,40,2,2,38,5.0,38,0,Libya
LCA,125,143,105,-18,84.0,20,38,Saint Lucia
LIE,156,93,93,63,59.6,63,0,Liechtenstein
LKA,39,193,38,-154,97.4,1,155,Sri Lanka
LSO,70,81,41,-11,58.6,29,40,Lesotho
LTU,157,93,93,64,59.2,64,0,Lithuania
