country,pagerank_as_destination,pagerank_as_passport,in_degree,out_degree,betweenness,hub_authority_gap,name
AFG,0.0011460943131443454,0.0007537688442211056,0,22,0.0,-0.00039232546892323977,Afghanistan
BDI,0.0024989379468159075,0.011758813294287053,198,47,0.005106435171810755,0.009259875347471146,Burundi
KHM,0.0021129834290617307,0.011722145097538163,197,50,0.003555165002511755,0.009609161668476432,Cambodia
CPV,0.0030991230161606207,0.011814563622717537,198,64,0.007539601928289189,0.008715440606556917,Cape Verde
COM,0.00206259015130547,0.01177521991793572,198,51,0.002166267811448042,0.009712629766630251,Comoros
CIV,0.0034276924494528855,0.0117825092168926,198,53,0.012548523913676977,0.008354816767439713,Ivory Coast
DJI,0.0018563239192219568,0.011749536491972492,198,45,0.0017306986563029648,0.009893212572750535,Djibouti
DMA,0.006410736705797981,0.011619983450575397,196,123,0.013380621217073424,0.005209246744777416,Dominica
GNB,0.0026538736199961115,0.011767345723920955,198,49,0.006355167501152545,0.009113472103924844,Guinea-Bissau
HTI,0.0018343727746415045,0.011420402070834001,193,45,0.00141228782461799,0.009586029296192497,Haiti
KEN,0.003539460875095521,0.011819258343807915,198,66,0.01069149265578585,0.008279797468712394,Kenya
MAC,0.007120008823169444,0.010987609306457626,191,129,0.01665001388261861,0.0038676004832881817,Macao
MDG,0.0022381348588162053,0.011400912882473935,196,57,0.002588100985392387,0.00916277802365773,Madagascar
MDV,0.004560874072155432,0.011827318071678358,197,86,0.013231826263322161,0.007266443999522925,Maldives
FSM,0.005801190384457467,0.011874428685427358,198,104,0.010958702343642837,0.006073238300969891,Micronesia
MOZ,0.002091049390617193,0.011170401512578474,192,56,0.002177879834642286,0.009079352121961282,Mozambique
PLW,0.005897460825894323,0.011594221494014404,196,105,0.010801175377039451,0.005696760668120081,Palau
RWA,0.0033163592963661287,0.011722162892648658,197,62,0.010229720793375939,0.008405803596282528,Rwanda
WSM,0.0062132892246600435,0.0118836442280555,198,115,0.012753237249655007,0.005670355003395457,Samoa
SYC,0.0072935304497281205,0.011846284926992762,197,134,0.017243026225368944,0.004552754477264642,Seychelles
LKA,0.0016952268192625857,0.01139720106157828,193,39,0.0011491953440682834,0.009701974242315694,Sri Lanka
TLS,0.004584942195516923,0.011852948540969492,198,85,0.0073957070859521756,0.007268006345452569,Timor-Leste
TUV,0.006099016773879461,0.011882879396559748,198,114,0.011513516015641583,0.0057838626226802865,Tuvalu
ALB,0.00574957514394138,0.0033050594723357325,92,106,0.0007287485519131368,-0.002444515671605648,Albania
AND,0.007996071932380356,0.0037412588840733227,93,146,0.0007524487404508182,-0.004254813048307033,Andorra
ATG,0.006790669188259239,0.005279269556825231,113,132,0.0028672248043064576,-0.0015113996314340076,Antigua and Barbuda
ARM,0.002734268986679464,0.0037008973058099766,90,67,0.00046417620309587655,0.0009666283191305126,Armenia
AUT,0.008501909108178498,0.0037430301723574877,93,159,0.0008876804967148855,-0.00475887893582101,Austria
AZE,0.00282016317485936,0.001824119642876491,30,71,0.00020508282793270242,-0.000996043531982869,Azerbaijan
BGD,0.00213698918143677,0.009583146974546292,164,33,0.002575926713043935,0.007446157793109522,Bangladesh
BRB,0.007962379171425104,0.01054031858598104,179,141,0.01590308215138232,0.002577939414555936,Barbados
BLR,0.003410644893347666,0.00363440148052929,94,81,0.0010618136708675846,0.00022375658718162437,Belarus
BEL,0.008548421116977293,0.0037431545661643466,93,160,0.000939752086597424,-0.004805266550812946,Belgium
BIH,0.005894438595379398,0.0039276369859383604,99,110,0.0007630384225313034,-0.0019668016094410374,Bosnia and Herzegovina
BRA,0.007701432871806031,0.004303514460495997,101,149,0.0021546920453256913,-0.0033979184113100344,Brazil
BGR,0.008351072341317309,0.003742904212370194,93,158,0.0008813413065805568,-0.004608168128947114,Bulgaria
CHL,0.00790406209917909,0.0034950204035233607,93,148,0.0013910223565595443,-0.00440904169565573,Chile
CHN,0.003249668703808667,0.0033917406420058576,81,77,0.0008215129368553034,0.00014207193819719063,China
COL,0.006491681875966627,0.004024621664331161,101,117,0.001386311331422221,-0.002467060211635466,Colombia
HRV,0.008501242332645594,0.0037430301723574877,93,159,0.0009124643973721398,-0.004758212160288107,Croatia
CYP,0.008280512990278384,0.0037426474740316854,93,156,0.0008479188255655494,-0.0045378655162466985,Cyprus
