country,community,community_size,community_label,name
TUV,0,87,African Union-aligned,Tuvalu
LBR,0,87,African Union-aligned,Liberia
CMR,0,87,African Union-aligned,Cameroon
GHA,0,87,African Union-aligned,Ghana
EGY,0,87,African Union-aligned,Egypt
PHL,0,87,African Union-aligned,Philippines
DJI,0,87,African Union-aligned,Djibouti
SSD,0,87,African Union-aligned,South Sudan
NAM,0,87,African Union-aligned,Namibia
AGO,0,87,African Union-aligned,Angola
GUY,0,87,African Union-aligned,Guyana
SEN,0,87,African Union-aligned,Senegal
NRU,0,87,African Union-aligned,Nauru
LSO,0,87,African Union-aligned,Lesotho
PSE,0,87,African Union-aligned,Palestine
WSM,0,87,African Union-aligned,Samoa
BEN,0,87,African Union-aligned,Benin
IRN,0,87,African Union-aligned,Iran
CAF,0,87,African Union-aligned,Central African Republic
MOZ,0,87,African Union-aligned,Mozambique
SYC,0,87,African Union-aligned,Seychelles
FSM,0,87,African Union-aligned,Micronesia
ZMB,0,87,African Union-aligned,Zambia
MDG,0,87,African Union-aligned,Madagascar
GAB,0,87,African Union-aligned,Gabon
LKA,0,87,African Union-aligned,Sri Lanka
LAO,0,87,African Union-aligned,Laos
MUS,0,87,African Union-aligned,Mauritius
CUB,0,87,African Union-aligned,Cuba
SLE,0,87,African Union-aligned,Sierra Leone
PNG,0,87,African Union-aligned,Papua New Guinea
BTN,0,87,African Union-aligned,Bhutan
VUT,0,87,African Union-aligned,Vanuatu
NPL,0,87,African Union-aligned,Nepal
LBY,0,87,African Union-aligned,Libya
MRT,0,87,African Union-aligned,Mauritania
ZWE,0,87,African Union-aligned,Zimbabwe
DMA,0,87,African Union-aligned,Dominica
SGP,0,87,African Union-aligned,Singapore
SWZ,0,87,African Union-aligned,Swaziland
ETH,0,87,African Union-aligned,Ethiopia
MDV,0,87,African Union-aligned,Maldives
ERI,0,87,African Union-aligned,Eritrea
GNQ,0,87,African Union-aligned,Equatorial Guinea
BDI,0,87,African Union-aligned,Burundi
STP,0,87,African Union-aligned,Sao Tome and Principe
KEN,0,87,African Union-aligned,Kenya
COG,0,87,African Union-aligned,Congo
RWA,0,87,African Union-aligned,Rwanda
SUR,0,87,African Union-aligned,Suriname
TUN,0,87,African Union-aligned,Tunisia
IND,0,87,African Union-aligned,India
GIN,0,87,African Union-aligned,Guinea
LCA,0,87,African Union-aligned,Saint Lucia
KIR,0,87,African Union-aligned,Kiribati
TCD,0,87,African Union-aligned,Chad
SOM,0,87,African Union-aligned,Somalia
GMB,0,87,African Union-aligned,Gambia
GNB,0,87,African Union-aligned,Guinea-Bissau
HTI,0,87,African Union-aligned,Haiti
BGD,0,87,African Union-aligned,Bangladesh
CPV,0,87,African Union-aligned,Cape Verde
PLW,0,87,African Union-aligned,Palau
COM,0,87,African Union-aligned,Comoros
JAM,0,87,African Union-aligned,Jamaica
TZA,0,87,African Union-aligned,Tanzania
TGO,0,87,African Union-aligned,Togo
MWI,0,87,African Union-aligned,Malawi
COD,0,87,African Union-aligned,DR Congo
DZA,0,87,African Union-aligned,Algeria
TLS,0,87,African Union-aligned,Timor-Leste
ZAF,0,87,African Union-aligned,South Africa
BWA,0,87,African Union-aligned,Botswana
NER,0,87,African Union-aligned,Niger
BRB,0,87,African Union-aligned,Barbados
UGA,0,87,African Union-aligned,Uganda
ECU,0,87,African Union-aligned,Ecuador
BLZ,0,87,African Union-aligned,Belize
BFA,0,87,African Union-aligned,Burkina Faso
PAK,0,87,African Union-aligned,Pakistan
MLI,0,87,African Union-aligned,Mali
CIV,0,87,African Union-aligned,Ivory Coast
KHM,0,87,African Union-aligned,Cambodia
GRD,0,87,African Union-aligned,Grenada
VCT,0,87,African Union-aligned,Saint Vincent and the Grenadines
FJI,0,87,African Union-aligned,Fiji
NGA,0,87,African Union-aligned,Nigeria
ALB,1,77,EU-27-aligned,Albania
CYP,1,77,EU-27-aligned,Cyprus
SVK,1,77,EU-27-aligned,Slovakia
LIE,1,77,EU-27-aligned,Liechtenstein
COL,1,77,EU-27-aligned,Colombia
FRA,1,77,EU-27-aligned,France
UKR,1,77,EU-27-aligned,Ukraine
BEL,1,77,EU-27-aligned,Belgium
LTU,1,77,EU-27-aligned,Lithuania
PRY,1,77,EU-27-aligned,Paraguay
ITA,1,77,EU-27-aligned,Italy
ISR,1,77,EU-27-aligned,Israel
ARG,1,77,EU-27-aligned,Argentina
AUS,1,77,EU-27-aligned,Australia
NZL,1,77,EU-27-aligned,New Zealand
EST,1,77,EU-27-aligned,Estonia
ARE,1,77,EU-27-aligned,United Arab Emirates
SMR,1,77,EU-27-aligned,San Marino
BIH,1,77,EU-27-aligned,Bosnia and Herzegovina
ISL,1,77,EU-27-aligned,Iceland
PRT,1,77,EU-27-aligned,Portugal
GTM,1,77,EU-27-aligned,Guatemala
HUN,1,77,EU-27-aligned,Hungary
CHE,1,77,EU-27-aligned,Switzerland
KNA,1,77,EU-27-aligned,Saint Kitts and Nevis
ESP,1,77,EU-27-aligned,Spain
MEX,1,77,EU-27-aligned,Mexico
BRN,1,77,EU-27-aligned,Brunei
MDA,1,77,EU-27-aligned,Moldova
PER,1,77,EU-27-aligned,Peru
KOR,1,77,EU-27-aligned,South Korea
VAT,1,77,EU-27-aligned,Vatican
AND,1,77,EU-27-aligned,Andorra
