can_enter,cannot_be_entered_by,pop_a,pop_b,combined_population,enters,blocked
IND,IDN,1463865525.0,285721236.0,1749586761.0,India,Indonesia
CHN,IDN,1406585000.0,285721236.0,1692306236.0,China,Indonesia
BRA,CHN,212812405.0,1406585000.0,1619397405.0,Brazil,China
IND,ETH,1463865525.0,135472051.0,1599337576.0,India,Ethiopia
JPN,IND,123366734.0,1463865525.0,1587232259.0,Japan,India
CHN,BGD,1406585000.0,175686899.0,1582271899.0,China,Bangladesh
IND,PHL,1463865525.0,116786962.0,1580652487.0,India,Philippines
IND,IRN,1463865525.0,92417681.0,1556283206.0,India,Iran
CHN,ETH,1406585000.0,135472051.0,1542057051.0,China,Ethiopia
IND,THA,1463865525.0,71619863.0,1535485388.0,India,Thailand
IND,TZA,1463865525.0,70545865.0,1534411390.0,India,Tanzania
JPN,CHN,123366734.0,1406585000.0,1529951734.0,Japan,China
CHN,EGY,1406585000.0,118365995.0,1524950995.0,China,Egypt
IND,KEN,1463865525.0,57532493.0,1521398018.0,India,Kenya
IND,MMR,1463865525.0,54850648.0,1518716173.0,India,Myanmar
KOR,IND,51684564.0,1463865525.0,1515550089.0,South Korea,India
IND,AGO,1463865525.0,39040039.0,1502905564.0,India,Angola
IND,MYS,1463865525.0,35977838.0,1499843363.0,India,Malaysia
CHN,IRN,1406585000.0,92417681.0,1499002681.0,China,Iran
IND,MDG,1463865525.0,32740678.0,1496606203.0,India,Madagascar
IND,CIV,1463865525.0,32711547.0,1496577072.0,India,Ivory Coast
DEU,CHN,83491249.0,1406585000.0,1490076249.0,Germany,China
IND,LKA,1463865525.0,21756000.0,1485621525.0,India,Sri Lanka
IND,KAZ,1463865525.0,20843754.0,1484709279.0,India,Kazakhstan
IND,SEN,1463865525.0,18931966.0,1482797491.0,India,Senegal
