index,gini_by_country,gini_by_person,p90_p10_ratio
gdp_share,0.4447,0.5286,16.75
pop_share,0.3322,0.3672,5.11
ahi_gamma_extreme,0.3263,0.3531,5.11
stay_days,0.3054,0.3248,4.76
binary_weighted,0.2989,0.3224,4.48
ahi_gamma_sharp,0.2786,0.2894,3.83
henley,0.2626,0.2761,3.71
ahi_pca,0.2616,0.2671,3.51
ahi_settlement,0.2595,0.2638,3.45
ahi_entropy,0.2567,0.2612,3.41
ahi_business,0.2508,0.2553,3.3
ahi_balanced,0.2492,0.2534,3.28
ahi_leisure,0.2392,0.2422,3.14
ahi_reach,0.2342,0.2389,3.06
ahi_gamma_flat,0.2334,0.2348,3.07
graded_count,0.2171,0.2161,2.85
