passport,reachable_gdp_share_pct,own_gdp_share_pct,reach_to_own_ratio,name
AFG,0.76,0.0454308180495087,16.7,Afghanistan
AGO,5.26,0.19065039956529373,27.6,Angola
ALB,54.25,0.031586832625815124,1717.5,Albania
AND,86.22,0.003142345502350679,27438.1,Andorra
ARE,79.8,0.4152550163519215,192.2,United Arab Emirates
ARG,66.81,0.7117679943021278,93.9,Argentina
ARM,38.99,0.03639905616707697,1071.2,Armenia
ATG,56.56,0.0016081103719834927,35171.7,Antigua and Barbuda
AUS,80.05,0.946278620086723,84.6,Australia
AUT,83.04,0.33678582256932543,246.6,Austria
AZE,36.66,0.1274653454879656,287.6,Azerbaijan
BDI,4.86,0.008555412335144813,568.1,Burundi
BEL,83.82,0.4248097395949187,197.3,Belgium
BEN,7.57,0.03399365040234998,222.7,Benin
BFA,6.33,0.03522683104883606,179.7,Burkina Faso
BGD,0.86,0.8497881306234502,1.0,Bangladesh
BGR,69.42,0.13622695546907052,509.6,Bulgaria
BHR,41.1,0.0541258311929582,759.3,Bahrain
BHS,61.03,0.007886840496621444,7738.2,Bahamas
BIH,54.55,0.0386143860909447,1412.7,Bosnia and Herzegovina
BLR,41.54,0.15026170160608646,276.5,Belarus
BLZ,21.8,0.0030151399582585467,7230.2,Belize
BOL,20.02,0.07715640081959609,259.5,Bolivia
BRA,62.69,2.3756190539602926,26.4,Brazil
BRB,59.94,0.0034861897696475447,17193.6,Barbados
BRN,79.39,0.020533007203482515,3866.5,Brunei
BTN,15.68,0.007436263477502844,2108.6,Bhutan
BWA,14.61,0.025262301093121498,578.3,Botswana
CAF,4.84,0.0034507331162524973,1402.6,Central African Republic
CAN,59.11,1.3243505115060614,44.6,Canada
CHE,83.8,0.4440248379428068,188.7,Switzerland
CHL,84.59,0.35737000706631,236.7,Chile
CHN,16.43,19.655041432623054,0.8,China
CIV,5.6,0.12791843026243524,43.8,Ivory Coast
CMR,5.36,0.08238253502617718,65.1,Cameroon
COD,4.58,0.10319099071135918,44.4,DR Congo
COG,4.91,0.02239049444157887,219.3,Congo
COL,37.76,0.5762100337940113,65.5,Colombia
COM,5.97,0.0017824599280571972,3349.3,Comoros
CPV,11.5,0.003055966348131915,3763.1,Cape Verde
CRI,43.38,0.08300589926417153,522.6,Costa Rica
CUB,10.35,0.0652630197059976,158.6,Cuba
CYP,68.56,0.03035127031318632,2258.9,Cyprus
CZE,64.24,0.313699672159975,204.8,Czech Republic
DEU,81.25,2.9991447457813187,27.1,Germany
DJI,4.99,0.0047674268675208424,1046.7,Djibouti
DMA,52.61,0.0007127181486354529,73816.0,Dominica
DNK,84.01,0.23822024280728987,352.7,Denmark
DOM,21.32,0.15762258702370066,135.3,Dominican Republic
DZA,4.48,0.41999138734608576,10.7,Algeria
ECU,43.8,0.14599740438001804,300.0,Ecuador
EGY,5.88,1.1392294177835873,5.2,Egypt
ERI,4.11,0.028929428987500384,142.1,Eritrea
ESP,82.84,1.4075750030423262,58.9,Spain
EST,83.3,0.03391813259589044,2455.9,Estonia
ETH,5.12,0.23372532037594135,21.9,Ethiopia
FIN,84.07,0.1772165104826253,474.4,Finland
FJI,38.54,0.007262521681298883,5306.7,Fiji
FRA,82.15,2.0943273918229517,39.2,France
FSM,45.2,0.00024935307903847906,181269.1,Micronesia
GAB,6.67,0.02744621848924698,243.0,Gabon
GBR,61.52,2.138584148667062,28.8,United Kingdom
GEO,54.66,0.05514873888552449,991.1,Georgia
GHA,6.55,0.14382311249259233,45.5,Ghana
GIN,8.0,0.035495406864851545,225.4,Guinea
GMB,6.75,0.004981743471510275,1354.9,Gambia
GNB,5.65,0.003528903585400895,1601.1,Guinea-Bissau
GNQ,5.43,0.014897552374611045,364.5,Equatorial Guinea
GRC,83.15,0.22454953322549537,370.3,Greece
GRD,57.89,0.0011928106736147721,48532.4,Grenada
GTM,42.25,0.1352903738520007,312.3,Guatemala
