passport,cluster,name,label
AFG,1,Afghanistan,Doubly closed
AGO,2,Angola,Open but unreciprocated (tier 3)
ALB,0,Albania,Frictionless core
AND,0,Andorra,Frictionless core
ARE,0,United Arab Emirates,Frictionless core
ARG,0,Argentina,Frictionless core
ARM,3,Armenia,Guarded middle (tier 2)
ATG,0,Antigua and Barbuda,Frictionless core
AUS,0,Australia,Frictionless core
AUT,0,Austria,Frictionless core
AZE,3,Azerbaijan,Guarded middle (tier 2)
BDI,2,Burundi,Open but unreciprocated (tier 3)
BEL,0,Belgium,Frictionless core
BEN,1,Benin,Doubly closed
BFA,1,Burkina Faso,Doubly closed
BGD,2,Bangladesh,Open but unreciprocated (tier 3)
BGR,0,Bulgaria,Frictionless core
BHR,3,Bahrain,Guarded middle (tier 2)
BHS,0,Bahamas,Frictionless core
BIH,0,Bosnia and Herzegovina,Frictionless core
BLR,3,Belarus,Guarded middle (tier 2)
BLZ,3,Belize,Guarded middle (tier 2)
BOL,3,Bolivia,Guarded middle (tier 2)
BRA,0,Brazil,Frictionless core
BRB,0,Barbados,Frictionless core
BRN,0,Brunei,Frictionless core
BTN,3,Bhutan,Guarded middle (tier 2)
BWA,2,Botswana,Open but unreciprocated (tier 3)
CAF,1,Central African Republic,Doubly closed
CAN,0,Canada,Frictionless core
CHE,0,Switzerland,Frictionless core
CHL,0,Chile,Frictionless core
CHN,3,China,Guarded middle (tier 2)
CIV,2,Ivory Coast,Open but unreciprocated (tier 3)
CMR,1,Cameroon,Doubly closed
COD,1,DR Congo,Doubly closed
COG,1,Congo,Doubly closed
COL,0,Colombia,Frictionless core
COM,2,Comoros,Open but unreciprocated (tier 3)
CPV,2,Cape Verde,Open but unreciprocated (tier 3)
CRI,0,Costa Rica,Frictionless core
CUB,3,Cuba,Guarded middle (tier 2)
CYP,0,Cyprus,Frictionless core
CZE,0,Czech Republic,Frictionless core
DEU,0,Germany,Frictionless core
DJI,2,Djibouti,Open but unreciprocated (tier 3)
DMA,0,Dominica,Frictionless core
DNK,0,Denmark,Frictionless core
DOM,3,Dominican Republic,Guarded middle (tier 2)
DZA,1,Algeria,Doubly closed
ECU,3,Ecuador,Guarded middle (tier 2)
